solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
robot_grok-4-fast-reasoning_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,3.7734375,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_1.cpp,RUNTIME_ERROR,0,0.00%,0.67%,0.050,8.73046875,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_1.cpp,RUNTIME_ERROR,0,0.00%,0.67%,0.050,8.73046875,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_1.cpp,RUNTIME_ERROR,0,0.00%,0.67%,0.050,8.73046875,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_1.cpp,RUNTIME_ERROR,0,0.00%,0.67%,0.050,8.73046875,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_1.cpp,RUNTIME_ERROR,0,0.00%,0.67%,0.050,8.73046875,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_1.cpp,RUNTIME_ERROR,0,0.00%,0.67%,0.050,8.73046875,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_1.cpp,RUNTIME_ERROR,0,0.00%,0.67%,0.050,8.73046875,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.290,8.609375,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,3.7578125,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.010,3.75,0,0.0,0.0,0.0,0.0,0.0
robot_grok-4-fast-reasoning_5.cpp,RUNTIME_ERROR,16,16.00%,22.93%,0.050,8.8359375,0,6,10,0.0,0.0,0.0
robot_grok-4-fast-reasoning_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
robot_grok-4-fast-reasoning_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.050,8.58984375,0,0.0,0.0,0.0,0.0,0.0
