competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Llama-3.3-70B-Instruct,6637,18.43%,0.89,72.83,3.80%
APIO-2023,Llama-3.3-70B-Instruct,11,15.78%,1.61,511.11,0.00%
APIO-2024,Llama-3.3-70B-Instruct,0,0.60%,0.54,7.77,0.00%
BOI-2023,Llama-3.3-70B-Instruct,0,5.61%,0.01,0.26,0.00%
BOI-2024,Llama-3.3-70B-Instruct,21,20.30%,0.21,1.37,0.00%
BOI-2025,Llama-3.3-70B-Instruct,0,1.76%,0.60,14.16,0.00%
CCO-2023,Llama-3.3-70B-Instruct,61,31.27%,0.45,2.45,18.75%
CCO-2024,Llama-3.3-70B-Instruct,84,36.89%,0.67,15.14,31.25%
CEOI-2023,Llama-3.3-70B-Instruct,0,0.57%,0.02,0.26,0.00%
CEOI-2024,Llama-3.3-70B-Instruct,20,14.73%,1.28,194.65,0.00%
COCI-2023,Llama-3.3-70B-Instruct,306,21.68%,0.71,41.20,12.00%
COCI-2024,Llama-3.3-70B-Instruct,241,21.19%,0.78,3.40,12.00%
COCI-2025,Llama-3.3-70B-Instruct,267,24.31%,0.81,25.31,8.00%
EGOI-2023,Llama-3.3-70B-Instruct,39,12.88%,0.85,1.94,0.00%
EGOI-2024,Llama-3.3-70B-Instruct,56,17.97%,1.40,3.56,0.00%
EJOI-2023,Llama-3.3-70B-Instruct,51,16.33%,0.63,159.89,0.00%
EJOI-2024,Llama-3.3-70B-Instruct,82,20.53%,1.61,22.91,0.00%
IATI-2024,Llama-3.3-70B-Instruct,66,15.65%,0.16,119.43,0.00%
IOI-2023,Llama-3.3-70B-Instruct,5,5.30%,0.99,5.20,0.00%
IOI-2024,Llama-3.3-70B-Instruct,39,15.97%,0.71,749.97,0.00%
JOI-2023,Llama-3.3-70B-Instruct,42,17.46%,0.75,47.95,0.00%
JOI-2024,Llama-3.3-70B-Instruct,32,8.81%,0.28,2.02,0.00%
NOINordic-2023,Llama-3.3-70B-Instruct,109,74.28%,2.57,59.94,0.00%
NOINordic-2024,Llama-3.3-70B-Instruct,4,24.49%,0.54,77.59,0.00%
NOINordic-2025,Llama-3.3-70B-Instruct,22,7.57%,3.31,5.30,0.00%
OOI-2023,Llama-3.3-70B-Instruct,350,28.50%,0.55,7.25,11.76%
OOI-2024,Llama-3.3-70B-Instruct,446,41.44%,1.68,13.71,17.65%
RMI-2023,Llama-3.3-70B-Instruct,0,0.79%,0.02,0.00,0.00%
RMI-2024,Llama-3.3-70B-Instruct,57,30.31%,0.88,108.24,0.00%
USACO-2023,Llama-3.3-70B-Instruct,2252,17.01%,1.31,19.54,6.25%
USACO-2024,Llama-3.3-70B-Instruct,1349,13.04%,1.00,13.60,0.00%
USACO-2025,Llama-3.3-70B-Instruct,625,8.34%,0.78,22.49,0.00%
