competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,964,1462,7233,1602,12165,10568,2725,97
APIO-2023,0,0,4,2,7,5,6,0
APIO-2024,0,0,3,0,18,3,0,0
BOI-2023,0,0,5,2,21,20,0,0
BOI-2024,0,0,6,4,22,16,0,0
BOI-2025,0,0,3,2,16,21,6,0
CCO-2023,23,0,19,4,21,57,4,0
CCO-2024,38,0,11,1,28,44,6,0
CEOI-2023,0,0,10,1,21,14,2,0
CEOI-2024,0,0,5,1,14,24,4,0
COCI-2023,12,0,46,5,61,70,5,1
COCI-2024,10,1,40,4,69,76,0,0
COCI-2025,1,0,42,9,60,75,12,1
EGOI-2023,0,0,7,1,12,23,21,0
EGOI-2024,0,0,5,1,17,33,8,0
EJOI-2023,0,0,16,0,19,8,5,0
EJOI-2024,0,0,8,0,27,13,0,0
IATI-2024,0,4,11,4,22,29,18,0
IOI-2023,0,0,3,0,28,17,0,0
IOI-2024,0,0,11,3,20,11,0,3
JOI-2023,0,0,16,0,65,63,6,2
JOI-2024,0,0,15,13,71,58,2,1
NOINordic-2023,1,0,0,1,5,12,5,0
NOINordic-2024,0,0,2,0,4,16,2,0
NOINordic-2025,0,0,7,0,9,8,0,0
OOI-2023,1,0,24,11,2,36,62,0
OOI-2024,5,0,23,2,0,37,69,0
RMI-2023,0,0,14,3,10,18,3,0
RMI-2024,1,0,7,0,15,17,8,0
USACO-2023,0,55,98,31,126,71,1,2
USACO-2024,0,41,123,24,133,63,0,0
USACO-2025,0,33,92,20,98,45,0,0
