problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.000,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,15.71%,37.31%,1.240,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,5.56%,0.060,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,54.29%,66.67%,1.210,2.58984375,,17,21,0,0,0,0
tornjevi,RUNTIME_ERROR,7,7.78%,18.52%,0.160,16.51171875,,7,0,0,0,0,0
crtez,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,9.23828125,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.00%,0.120,14.4453125,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,1.5546875,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,0.00%,7.69%,0.060,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,8.57%,12.24%,0.100,0.00390625,,6,0,0,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,27.78%,37.21%,2.410,4.39453125,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,20,16.67%,24.59%,0.070,1.83203125,,0,0,0,20,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,25,35.71%,27.08%,5.960,2.07421875,,0,25,0,0,0,0
hijerarhija,RUNTIME_ERROR,0,0.00%,36.11%,0.510,4.6484375,,0,0,0,0,0,0
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,1.61%,0.000,0,,0,0,0,0,0,0
TOTAL,,252,,19.91%,,,8.00%,,,,,,
