problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,seed-oss_8192,TIME_LIMIT_EXCEEDED,0,9.21%,2.410,14.96484375
2024-sp_Ski_2,seed-oss_8192,RUNTIME_ERROR,0,0.00%,0.020,0.00390625
2024-sp_Spy_3,seed-oss_8192,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,seed-oss_8192,RUNTIME_ERROR,10,27.72%,0.030,4.8984375
2024-sp_Tricolor_Lights,seed-oss_8192,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,seed-oss_8192,TIME_LIMIT_EXCEEDED,30,76.69%,5.970,40.3359375
2024-sp_Card_Collection,seed-oss_8192,RUNTIME_ERROR,0,6.06%,0.000,0
2024-sp_JOI_Tour,seed-oss_8192,TIME_LIMIT_EXCEEDED,52,55.41%,3.600,37.140625
2024-sp_Tower,seed-oss_8192,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,seed-oss_8192,RUNTIME_ERROR,0,4.59%,0.060,0.00390625
2024-sp_Island_Hopping,seed-oss_8192,RUNTIME_ERROR,2,4.31%,0.020,0.5625
2024-sp_Table_Tennis,seed-oss_8192,RUNTIME_ERROR,5,44.35%,0.040,13.41796875
