problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.080,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.010,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,2,13.33%,22.86%,0.060,19.6015625,,2,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,100.00%,0.090,24.62890625,,2,3,3,7,0,0,0
s5,RUNTIME_ERROR,2,13.33%,20.35%,0.230,216.5703125,,2,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,1.090,107.76953125,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,0.590,127.36328125,,3,4,5,6,7,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.00%,0.170,28.1015625,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.010,0.00390625,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,0.00%,1.68%,4.810,14.74609375,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,11,44.00%,58.62%,4.810,41.51171875,,3,2,4,2,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.010,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.010,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.010,1.49609375,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.010,0.00390625,,1,4,5,5,0,0,0
TOTAL,,185,,68.97%,,,62.50%,,,,,,,
