problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.070,7.484375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.050,4.1328125,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,1.37%,0.110,26.8671875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,0.890,135.04296875,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.020,1.60546875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.070,1.8125,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,23.64%,22.45%,0.040,5.1640625,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.020,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.040,2.84765625,,7,27,36,0,0
lepeze,ACCEPTED,110,100.00%,100.00%,0.390,21.91796875,,12,16,30,12,40
putovanje,ACCEPTED,110,100.00%,100.00%,0.570,80.5703125,,10,20,35,45,0
roboti,RUNTIME_ERROR,61,55.45%,68.18%,0.440,50.01953125,,10,13,0,38,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.030,6.1953125,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,64,58.18%,57.89%,3.610,3.74609375,,16,19,29,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.060,17.8046875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.120,10.0625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.030,2.05078125,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.270,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0,,0,0,0,0,0
mostovi,RUNTIME_ERROR,0,0.00%,0.37%,0.080,32.53125,,0,0,0,0,0
TOTAL,,1561,,74.54%,,,68.00%,,,,,
