competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,3215,2349,5632,507,2358,8942,541,520
APIO-2023,0,0,4,0,0,20,0,0
APIO-2024,0,0,0,0,13,11,0,0
BOI-2023,0,0,2,0,7,39,0,0
BOI-2024,1,0,12,0,2,33,0,0
BOI-2025,0,0,14,0,2,30,0,2
CCO-2023,33,0,22,2,1,62,3,5
CCO-2024,47,0,18,2,2,48,1,10
CEOI-2023,0,0,3,0,10,35,0,0
CEOI-2024,0,0,12,3,12,20,0,1
COCI-2023,64,0,31,5,16,73,7,4
COCI-2024,80,1,34,1,14,67,0,3
COCI-2025,52,0,24,2,12,93,16,1
EGOI-2023,6,0,8,1,0,40,9,0
EGOI-2024,0,0,0,3,2,52,7,0
EJOI-2023,0,0,24,0,15,7,2,0
EJOI-2024,6,0,14,0,12,16,0,0
IATI-2024,0,0,0,0,0,0,0,0
IOI-2023,0,0,6,0,2,39,0,1
IOI-2024,0,0,16,1,2,29,0,0
JOI-2023,8,0,28,0,14,107,2,1
JOI-2024,1,0,24,1,27,105,0,2
NOINordic-2023,9,0,1,3,4,6,1,0
NOINordic-2024,0,0,8,0,0,13,1,2
NOINordic-2025,1,0,20,0,1,2,0,0
OOI-2023,21,0,29,7,0,65,11,3
OOI-2024,19,0,54,1,0,53,9,0
RMI-2023,0,0,0,0,38,9,1,0
RMI-2024,0,0,10,2,9,27,0,0
USACO-2023,67,105,116,17,16,52,0,11
USACO-2024,43,104,121,10,20,69,0,17
USACO-2025,21,77,71,6,66,43,0,4
