competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,772,2230,6308,1128,9078,15124,1783,393
APIO-2023,0,0,6,0,4,11,1,2
APIO-2024,0,0,2,0,19,2,0,1
BOI-2023,0,0,3,2,11,32,0,0
BOI-2024,0,0,3,2,7,36,0,0
BOI-2025,0,0,7,0,6,34,1,0
CCO-2023,21,0,18,0,28,56,5,0
CCO-2024,31,0,12,1,16,65,2,1
CEOI-2023,0,0,13,0,20,12,3,0
CEOI-2024,0,0,7,2,13,24,2,0
COCI-2023,2,0,31,7,49,105,5,1
COCI-2024,5,7,27,5,44,112,0,0
COCI-2025,2,0,36,5,41,96,16,4
EGOI-2023,0,0,6,0,7,39,11,1
EGOI-2024,0,0,3,3,6,44,8,0
EJOI-2023,0,0,14,0,16,15,2,1
EJOI-2024,0,0,11,0,18,18,0,1
IATI-2024,0,7,20,1,15,38,6,1
IOI-2023,0,0,0,2,21,23,0,2
IOI-2024,0,0,5,8,13,17,0,5
JOI-2023,0,0,23,2,45,77,4,1
JOI-2024,1,0,16,3,62,73,0,5
NOINordic-2023,0,0,1,1,5,15,2,0
NOINordic-2024,0,0,3,1,4,15,1,0
NOINordic-2025,0,0,7,0,6,11,0,0
OOI-2023,2,0,23,12,2,57,39,1
OOI-2024,2,0,19,3,0,61,49,2
RMI-2023,0,0,9,0,12,21,6,0
RMI-2024,0,0,5,1,9,28,5,0
USACO-2023,0,73,83,20,77,128,0,3
USACO-2024,0,61,105,12,101,103,0,2
USACO-2025,0,57,63,14,78,74,0,2
