Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,333.00,27.75%,40.81%,16.67%,0.249,153.01,12
grok-4-fast-reasoning,317.00,26.42%,46.69%,8.33%,0.777,274.92,12
gpt-oss-120b-high,300.00,25.00%,41.11%,16.67%,0.593,228.65,12
gemini-2.5-pro,294.00,24.50%,46.29%,0.00%,1.580,416.59,12
seed-oss_-1,247.00,20.58%,38.34%,0.00%,0.993,217.35,12
seed-oss_16384,222.00,,35.97%,0.00%,1.067,232.31,12
seed-oss_8192,214.00,,29.49%,0.00%,0.636,16.53,12
claude-sonnet-4.5,208.00,17.33%,39.98%,0.00%,1.497,342.37,12
gpt-o3-mini-high,179.00,14.92%,24.31%,0.00%,0.752,28.84,12
gemini-2.5-flash,175.00,14.58%,30.29%,0.00%,1.039,242.41,12
claude-haiku-4.5,165.00,13.75%,33.05%,0.00%,1.285,498.13,12
gpt-oss-120b-medium,151.00,12.58%,28.06%,0.00%,0.626,213.72,12
gpt-oss-120b_sp1,144.00,12.00%,26.84%,0.00%,0.619,211.58,12
gpt-oss-120b_sp2,139.00,11.58%,24.46%,0.00%,0.423,9.96,12
Qwen3-30B,137.00,,23.17%,0.00%,0.693,196.07,12
OlympicCoder-32B,133.00,11.08%,21.91%,0.00%,0.629,253.96,12
deepseek-reasoner,133.00,11.08%,27.22%,0.00%,0.713,13.08,12
gpt-oss-20b-low,129.00,10.75%,21.05%,0.00%,0.552,10.74,12
Qwen3-14B,125.00,10.42%,22.57%,0.00%,0.522,211.29,12
gpt-oss-120b_sp3,124.00,10.33%,22.96%,0.00%,0.900,9.81,12
gpt-oss-20b-high,120.00,12.00%,23.72%,0.00%,0.607,186.90,10
gpt-oss-120b-low,117.00,9.75%,22.33%,0.00%,0.753,8.49,12
gpt-oss-20b-medium,114.00,10.36%,22.68%,0.00%,0.840,9.26,11
Qwen3-30B-Non-Thinking,111.00,9.25%,18.74%,0.00%,0.745,342.26,12
gpt-oss-120b_sp4,108.00,9.00%,17.95%,0.00%,0.755,12.83,12
Qwen3-8B,105.00,8.75%,17.99%,0.00%,0.562,414.56,12
gpt-4.1,99.00,8.25%,17.32%,0.00%,0.362,37.93,12
deepseek-chat,99.00,8.25%,19.33%,0.00%,0.873,11.79,12
DeepSeek-R1-Distill-Llama-70B,75.00,6.25%,20.97%,0.00%,0.614,211.85,12
Qwen3-14B-Non-Thinking,67.00,5.58%,14.53%,0.00%,0.658,494.02,12
Mistral-Large-Instruct-2411,66.00,5.50%,14.28%,0.00%,0.630,207.85,12
OpenCodeReasoning-Nemotron-32B-IOI,52.00,4.33%,9.96%,0.00%,0.348,14.46,12
Qwen3-4B,50.00,4.17%,12.48%,0.00%,0.765,432.13,12
Qwen2.5-72B,47.00,,9.78%,0.00%,0.281,188.57,12
Qwen3-32B-Non-Thinking,44.00,3.67%,11.03%,0.00%,0.336,208.62,12
Llama-3.3-70B-Instruct,44.00,,10.63%,0.00%,0.853,377.59,12
QwQ-32B,43.00,10.75%,17.89%,0.00%,0.133,3.04,4
Qwen3-8B-Non-Thinking,42.00,3.50%,8.24%,0.00%,0.439,213.84,12
Llama-4-Scout,34.00,2.83%,10.32%,0.00%,0.562,410.68,12
seed-oss_4096,32.00,,11.44%,0.00%,0.403,207.49,12
OlympicCoder-7B,30.00,2.50%,6.75%,0.00%,0.493,10.90,12
Qwen2.5-Coder-14B-Instruct,30.00,2.50%,10.43%,0.00%,0.589,413.76,12
seed-oss_2048,26.00,,8.43%,0.00%,0.107,206.67,12
seed-oss_1024,25.00,,11.79%,0.00%,0.297,7.68,12
seed-oss_512,22.00,,4.94%,0.00%,0.034,8.80,12
Qwen3-4B-Non-Thinking,22.00,1.83%,6.25%,0.00%,0.327,501.23,12
DeepSeek-Coder-V2-Lite-Instruct,22.00,1.83%,7.63%,0.00%,0.356,409.83,12
Mistral-Small-3.1-24B-2503,22.00,1.83%,7.14%,0.00%,0.420,209.45,12
Qwen3-32B,17.00,17.00%,33.14%,0.00%,0.160,35.68,1
Qwen2.5-Coder-32B-Instruct,15.00,3.75%,15.27%,0.00%,0.833,3.55,4
Qwen2.5-Coder-7B-Instruct,12.00,1.00%,5.56%,0.00%,0.190,203.97,12
Llama-3.1-8B-Instruct,12.00,1.00%,5.69%,0.00%,0.220,207.93,12
seed-oss_0,11.00,,3.74%,0.00%,0.144,5.95,12
DeepSeek-R1-Distill-Qwen-14B,8.00,2.00%,7.81%,0.00%,0.115,4.25,4
DeepSeek-R1-Distill-Qwen-32B,8.00,1.60%,8.05%,0.00%,0.162,6.07,5
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12
Codestral-22B-v0.1,0.00,0.00%,1.67%,0.00%,0.230,408.77,12
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,1.87%,0.00%,0.357,2.30,12
