Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,1872.00,43.53%,62.24%,32.56%,0.956,28.02,43
gpt-oss-120b-high,1630.00,36.22%,51.71%,28.89%,0.663,49.75,45
gpt-oss-120b_sp4,1413.00,31.40%,46.47%,22.22%,0.946,47.89,45
gemini-2.5-pro,1410.00,32.79%,56.17%,18.60%,1.258,60.17,43
grok-4-fast-reasoning,1265.00,34.19%,57.88%,18.92%,1.159,84.36,37
gpt-oss-120b-medium,1229.00,27.31%,39.69%,22.22%,0.459,18.55,45
gpt-oss-20b-high,1215.00,31.15%,43.74%,25.64%,0.619,27.24,39
gpt-oss-120b_sp1,1201.00,26.69%,42.10%,22.22%,0.850,19.92,45
gpt-oss-120b_sp3,1187.00,26.38%,40.31%,22.22%,0.537,67.16,45
gpt-o3-mini-high,1186.00,26.36%,47.11%,17.78%,1.208,83.96,45
gpt-oss-120b_sp2,1184.00,26.31%,43.42%,22.22%,0.606,41.87,45
gemini-2.5-flash,1139.00,26.49%,46.58%,13.95%,1.519,61.67,43
gpt-oss-20b-medium,968.00,23.05%,36.35%,19.05%,0.465,15.07,42
seed-oss_-1,955.00,21.22%,43.94%,13.33%,0.973,63.81,45
seed-oss_16384,945.00,,39.10%,15.56%,0.877,23.11,45
claude-sonnet-4.5,931.00,22.17%,54.65%,7.14%,2.332,146.69,42
Qwen3-32B,840.00,18.67%,40.38%,11.11%,1.291,14.88,45
seed-oss_8192,803.00,,35.14%,11.11%,0.887,12.07,45
gpt-oss-120b-low,755.00,16.78%,30.55%,13.33%,0.554,27.21,45
deepseek-reasoner,732.00,16.27%,32.36%,8.89%,0.697,8.09,45
Qwen3-8B,574.00,12.76%,26.12%,8.89%,0.633,9.37,45
Qwen3-14B,537.00,11.93%,28.31%,6.67%,0.717,35.47,45
OpenCodeReasoning-Nemotron-32B-IOI,505.00,12.32%,27.34%,7.32%,0.810,23.28,41
Qwen3-30B,430.00,11.03%,30.25%,5.13%,0.815,8.07,39
DeepSeek-R1-Distill-Llama-70B,426.00,9.91%,22.55%,6.98%,0.385,31.82,43
QwQ-32B,397.00,10.18%,24.11%,7.69%,0.445,22.65,39
gpt-oss-20b-low,386.00,8.98%,19.10%,6.98%,0.471,6.81,43
gpt-4.1,367.00,8.53%,29.83%,2.33%,1.104,29.09,43
OlympicCoder-7B,356.00,8.28%,16.35%,6.98%,0.384,5.17,43
deepseek-chat,343.00,8.79%,26.76%,2.56%,1.067,40.42,39
DeepSeek-R1-Distill-Qwen-32B,287.00,7.36%,19.65%,5.13%,0.586,7.59,39
Qwen3-4B,283.00,6.29%,17.46%,4.44%,0.403,25.04,45
seed-oss_4096,240.00,,12.78%,4.44%,0.176,3.32,45
DeepSeek-R1-Distill-Qwen-14B,221.00,5.67%,13.54%,5.13%,0.444,33.45,39
Qwen3-32B-Non-Thinking,199.00,4.63%,13.70%,2.33%,0.504,8.75,43
seed-oss_2048,129.00,,8.45%,2.22%,0.091,3.14,45
Codestral-22B-v0.1,119.00,3.05%,9.05%,2.56%,0.239,32.16,39
seed-oss_0,109.00,,7.77%,2.22%,0.147,3.39,45
Qwen2.5-Coder-32B-Instruct,109.00,2.79%,13.42%,0.00%,0.433,3.35,39
Llama-4-Scout,77.00,1.71%,10.82%,0.00%,0.528,25.37,45
Mistral-Large-Instruct-2411,75.00,1.74%,13.39%,0.00%,0.548,79.74,43
Qwen3-8B-Non-Thinking,75.00,2.03%,11.45%,0.00%,0.577,61.68,37
Llama-3.3-70B-Instruct,69.00,1.77%,12.01%,0.00%,0.499,27.21,39
Qwen3-4B-Non-Thinking,67.00,1.56%,7.05%,0.00%,0.247,34.75,43
Qwen3-30B-Non-Thinking,61.00,1.42%,9.50%,0.00%,0.333,2.84,43
Qwen2.5-Coder-14B-Instruct,46.00,1.18%,13.23%,0.00%,0.572,3.45,39
Qwen3-14B-Non-Thinking,36.00,0.84%,7.69%,0.00%,0.227,5.71,43
Qwen2.5-72B,31.00,0.79%,9.16%,0.00%,0.334,2.94,39
Qwen2.5-Coder-7B-Instruct,28.00,0.65%,6.91%,0.00%,0.350,42.39,43
seed-oss_1024,27.00,,5.96%,0.00%,0.078,2.28,45
DeepSeek-Coder-V2-Lite-Instruct,24.00,0.62%,6.86%,0.00%,0.328,6.16,39
seed-oss_512,12.00,,5.15%,0.00%,0.090,14.98,45
Mistral-Small-3.1-24B-2503,8.00,0.21%,5.42%,0.00%,0.356,3.45,39
DeepSeek-R1-Distill-Llama-8B,3.00,0.08%,1.58%,0.00%,0.018,0.11,39
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.53%,0.00%,0.004,0.00,39
Llama-3.1-8B-Instruct,0.00,0.00%,3.02%,0.00%,0.115,2.75,39
