Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gemini-2.5-pro,2572.0,9,7,2,77.77777777777779,85.81915248581915,Gold,1000.0,800.0,772.0,1,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-o3-mini-high,2118.0,9,6,2,66.66666666666666,70.67067067067066,Bronze,1000.0,667.0,451.0,2,USACO,2024,combined,USACO-2024-December_Contest-combined
gemini-2.5-flash,2111.0,9,5,4,55.55555555555556,70.4371037704371,Bronze,1000.0,534.0,577.0,3,USACO,2024,combined,USACO-2024-December_Contest-combined
deepseek-reasoner,2051.0,9,6,1,66.66666666666666,68.4351017684351,Bronze,1000.0,667.0,384.0,4,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-14B,1520.0,9,4,4,44.44444444444444,50.717384050717385,Bronze,1000.0,367.0,153.0,5,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-8B,1520.0,9,4,4,44.44444444444444,50.717384050717385,Bronze,1000.0,367.0,153.0,6,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-4.1,1390.0,9,3,5,33.33333333333333,46.37971304637971,Bronze,750.0,500.0,140.0,7,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-30B,1359.0,9,3,5,33.33333333333333,45.34534534534534,Bronze,700.0,401.0,258.0,8,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-32B,1308.0,9,3,6,33.33333333333333,43.64364364364364,Bronze,700.0,500.0,108.0,9,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1225.0,9,3,5,33.33333333333333,40.87420754087421,Bronze,750.0,367.0,108.0,10,USACO,2024,combined,USACO-2024-December_Contest-combined
deepseek-chat,1154.0,9,3,3,33.33333333333333,38.50517183850517,None,667.0,334.0,153.0,11,USACO,2024,combined,USACO-2024-December_Contest-combined
QwQ-32B,1057.0,9,3,2,33.33333333333333,35.2686019352686,None,667.0,367.0,23.0,12,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Llama-70B,809.0,9,2,4,22.22222222222222,26.993660326993663,None,367.0,334.0,108.0,13,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,809.0,9,2,3,22.22222222222222,26.993660326993663,None,417.0,334.0,58.0,14,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-4B,759.0,9,2,3,22.22222222222222,25.325325325325327,None,334.0,367.0,58.0,15,USACO,2024,combined,USACO-2024-December_Contest-combined
Llama-3.3-70B-Instruct,393.0,9,0,5,0.0,13.113113113113112,None,301.0,34.0,58.0,16,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-Coder-32B-Instruct,343.0,9,0,5,0.0,11.444778111444778,None,251.0,1.0,91.0,17,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-14B-Non-Thinking,227.0,9,0,3,0.0,7.574240907574241,None,168.0,1.0,58.0,18,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-30B-Non-Thinking,227.0,9,0,3,0.0,7.574240907574241,None,168.0,1.0,58.0,19,USACO,2024,combined,USACO-2024-December_Contest-combined
Mistral-Large-Instruct-2411,192.0,9,0,2,0.0,6.406406406406406,None,190.0,1.0,1.0,20,USACO,2024,combined,USACO-2024-December_Contest-combined
Codestral-22B-v0.1,191.0,9,0,3,0.0,6.373039706373039,None,134.0,34.0,23.0,21,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-72B,121.0,9,0,2,0.0,4.037370704037371,None,84.0,1.0,36.0,22,USACO,2024,combined,USACO-2024-December_Contest-combined
Llama-3.1-8B-Instruct,71.0,9,0,2,0.0,2.3690357023690356,None,34.0,1.0,36.0,23,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,71.0,9,0,2,0.0,2.3690357023690356,None,34.0,1.0,36.0,24,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-32B-Non-Thinking,60.0,9,0,2,0.0,2.002002002002002,None,1.0,1.0,58.0,25,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-4B-Non-Thinking,60.0,9,0,2,0.0,2.002002002002002,None,1.0,1.0,58.0,26,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-Coder-7B-Instruct,58.0,9,0,2,0.0,1.9352686019352687,None,34.0,1.0,23.0,27,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-8B-Non-Thinking,38.0,9,0,1,0.0,1.2679346012679347,None,1.0,1.0,36.0,28,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-Coder-14B-Instruct,36.0,9,0,1,0.0,1.2012012012012012,None,34.0,1.0,1.0,29,USACO,2024,combined,USACO-2024-December_Contest-combined
Mistral-Small-3.1-24B-2503,36.0,9,0,1,0.0,1.2012012012012012,None,1.0,34.0,1.0,30,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,31,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,32,USACO,2024,combined,USACO-2024-December_Contest-combined
