Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gemini-2.5-pro,2301.0,9,6,3,66.66666666666666,76.77677677677679,Bronze,1000.0,551.0,750.0,1,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-o3-mini-high,2218.0,9,6,3,66.66666666666666,74.00734067400734,Bronze,1000.0,518.0,700.0,2,USACO,2024,combined,USACO-2024-February_Contest-combined
gemini-2.5-flash,1956.0,9,5,3,55.55555555555556,65.26526526526526,Bronze,872.0,384.0,700.0,3,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-32B,1629.0,9,3,6,33.33333333333333,54.35435435435435,Bronze,821.0,551.0,257.0,4,USACO,2024,combined,USACO-2024-February_Contest-combined
deepseek-reasoner,1408.0,9,3,5,33.33333333333333,46.98031364698031,None,667.0,518.0,223.0,5,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-4.1,1297.0,9,3,4,33.33333333333333,43.27660994327661,Bronze,795.0,118.0,384.0,6,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-8B,1246.0,9,2,4,22.22222222222222,41.57490824157491,Bronze,821.0,68.0,357.0,7,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-14B,1220.0,9,2,5,22.22222222222222,40.70737404070737,Bronze,821.0,42.0,357.0,8,USACO,2024,combined,USACO-2024-February_Contest-combined
QwQ-32B,1155.0,9,2,5,22.22222222222222,38.53853853853854,Bronze,923.0,42.0,190.0,9,USACO,2024,combined,USACO-2024-February_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1070.0,9,2,5,22.22222222222222,35.70236903570237,Bronze,821.0,109.0,140.0,10,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-4B,1035.0,9,2,5,22.22222222222222,34.53453453453454,Bronze,821.0,85.0,129.0,11,USACO,2024,combined,USACO-2024-February_Contest-combined
deepseek-chat,1029.0,9,2,4,22.22222222222222,34.33433433433433,Bronze,821.0,18.0,190.0,12,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-32B-Non-Thinking,981.0,9,2,4,22.22222222222222,32.732732732732735,None,744.0,120.0,117.0,13,USACO,2024,combined,USACO-2024-February_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,898.0,9,2,4,22.22222222222222,29.9632966299633,None,744.0,42.0,112.0,14,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-30B,885.0,9,1,5,11.11111111111111,29.52952952952953,None,488.0,235.0,162.0,15,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen2.5-Coder-32B-Instruct,792.0,9,1,5,11.11111111111111,26.426426426426424,None,629.0,18.0,145.0,16,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-30B-Non-Thinking,747.0,9,1,4,11.11111111111111,24.924924924924923,None,629.0,1.0,117.0,17,USACO,2024,combined,USACO-2024-February_Contest-combined
DeepSeek-R1-Distill-Llama-70B,720.0,9,1,5,11.11111111111111,24.024024024024023,None,462.0,85.0,173.0,18,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen2.5-Coder-14B-Instruct,653.0,9,0,5,0.0,21.788455121788456,None,384.0,18.0,251.0,19,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-14B-Non-Thinking,512.0,9,1,4,11.11111111111111,17.083750417083753,None,360.0,18.0,134.0,20,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-4B-Non-Thinking,475.0,9,1,1,11.11111111111111,15.849182515849183,None,473.0,1.0,1.0,21,USACO,2024,combined,USACO-2024-February_Contest-combined
Codestral-22B-v0.1,443.0,9,0,3,0.0,14.781448114781448,None,191.0,1.0,251.0,22,USACO,2024,combined,USACO-2024-February_Contest-combined
Mistral-Large-Instruct-2411,387.0,9,0,4,0.0,12.912912912912914,None,274.0,1.0,112.0,23,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen2.5-72B,347.0,9,0,4,0.0,11.578244911578246,None,245.0,18.0,84.0,24,USACO,2024,combined,USACO-2024-February_Contest-combined
Llama-3.3-70B-Instruct,326.0,9,0,5,0.0,10.877544210877545,None,191.0,18.0,117.0,25,USACO,2024,combined,USACO-2024-February_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,300.0,9,0,4,0.0,10.01001001001001,None,281.0,18.0,1.0,26,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen2.5-Coder-7B-Instruct,271.0,9,0,5,0.0,9.042375709042377,None,196.0,18.0,57.0,27,USACO,2024,combined,USACO-2024-February_Contest-combined
Mistral-Small-3.1-24B-2503,251.0,9,0,3,0.0,8.375041708375042,None,166.0,1.0,84.0,28,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-8B-Non-Thinking,210.0,9,0,3,0.0,7.007007007007007,None,191.0,18.0,1.0,29,USACO,2024,combined,USACO-2024-February_Contest-combined
Llama-3.1-8B-Instruct,76.0,9,0,2,0.0,2.5358692025358693,None,1.0,18.0,57.0,30,USACO,2024,combined,USACO-2024-February_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,31,USACO,2024,combined,USACO-2024-February_Contest-combined
