Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gemini-2.5-pro,2341.0,9,6,2,66.66666666666666,78.11144477811145,Bronze,1000.0,667.0,674.0,1,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-o3-mini-high,2123.0,9,5,3,55.55555555555556,70.8375041708375,Silver,1000.0,834.0,289.0,2,USACO,2024,combined,USACO-2024-January_Contest-combined
gemini-2.5-flash,2008.0,9,5,2,55.55555555555556,67.00033366700033,Bronze,1000.0,667.0,341.0,3,USACO,2024,combined,USACO-2024-January_Contest-combined
deepseek-reasoner,1697.0,9,4,2,44.44444444444444,56.62328995662329,Bronze,1000.0,556.0,141.0,4,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-30B,1669.0,9,4,2,44.44444444444444,55.68902235568902,Bronze,1000.0,528.0,141.0,5,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-14B,1545.0,9,3,4,33.33333333333333,51.551551551551555,Bronze,1000.0,385.0,160.0,6,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-32B,1518.0,9,4,3,44.44444444444444,50.650650650650654,Bronze,1000.0,358.0,160.0,7,USACO,2024,combined,USACO-2024-January_Contest-combined
QwQ-32B,1448.0,9,3,2,33.33333333333333,48.31498164831498,None,667.0,640.0,141.0,8,USACO,2024,combined,USACO-2024-January_Contest-combined
DeepSeek-R1-Distill-Llama-70B,1099.0,9,1,3,11.11111111111111,36.67000333667001,None,593.0,505.0,1.0,9,USACO,2024,combined,USACO-2024-January_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1057.0,9,1,5,11.11111111111111,35.2686019352686,None,673.0,243.0,141.0,10,USACO,2024,combined,USACO-2024-January_Contest-combined
deepseek-chat,1051.0,9,2,3,22.22222222222222,35.0684017350684,None,667.0,243.0,141.0,11,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-8B,1046.0,9,2,4,22.22222222222222,34.90156823490157,None,667.0,219.0,160.0,12,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-4.1,881.0,9,1,4,11.11111111111111,29.39606272939606,None,405.0,335.0,141.0,13,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-4B,861.0,9,2,3,22.22222222222222,28.72872872872873,None,667.0,53.0,141.0,14,USACO,2024,combined,USACO-2024-January_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,734.0,9,0,4,0.0,24.491157824491157,None,521.0,72.0,141.0,15,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-32B-Non-Thinking,578.0,9,1,3,11.11111111111111,19.285952619285954,None,358.0,219.0,1.0,16,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-30B-Non-Thinking,554.0,9,1,2,11.11111111111111,18.48515181848515,None,358.0,195.0,1.0,17,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen2.5-Coder-14B-Instruct,419.0,9,0,4,0.0,13.980647313980649,None,337.0,81.0,1.0,18,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-8B-Non-Thinking,407.0,9,0,3,0.0,13.580246913580247,None,266.0,140.0,1.0,19,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-14B-Non-Thinking,363.0,9,0,4,0.0,12.112112112112113,None,284.0,25.0,54.0,20,USACO,2024,combined,USACO-2024-January_Contest-combined
Llama-3.3-70B-Instruct,348.0,9,0,3,0.0,11.611611611611613,None,242.0,105.0,1.0,21,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen2.5-Coder-32B-Instruct,324.0,9,0,3,0.0,10.81081081081081,None,266.0,57.0,1.0,22,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen2.5-72B,320.0,9,0,4,0.0,10.677344010677343,None,266.0,53.0,1.0,23,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen2.5-Coder-7B-Instruct,316.0,9,0,3,0.0,10.543877210543878,None,266.0,49.0,1.0,24,USACO,2024,combined,USACO-2024-January_Contest-combined
Mistral-Small-3.1-24B-2503,290.0,9,0,2,0.0,9.676343009676343,None,260.0,29.0,1.0,25,USACO,2024,combined,USACO-2024-January_Contest-combined
Mistral-Large-Instruct-2411,272.0,9,0,2,0.0,9.075742409075742,None,242.0,29.0,1.0,26,USACO,2024,combined,USACO-2024-January_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,268.0,9,0,2,0.0,8.942275608942275,None,266.0,1.0,1.0,27,USACO,2024,combined,USACO-2024-January_Contest-combined
Llama-3.1-8B-Instruct,70.0,9,0,3,0.0,2.335669002335669,None,44.0,25.0,1.0,28,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-4B-Non-Thinking,68.0,9,0,2,0.0,2.2689356022689355,None,38.0,29.0,1.0,29,USACO,2024,combined,USACO-2024-January_Contest-combined
Codestral-22B-v0.1,64.0,9,0,2,0.0,2.135468802135469,None,62.0,1.0,1.0,30,USACO,2024,combined,USACO-2024-January_Contest-combined
DeepSeek-R1-Distill-Llama-8B,22.0,9,0,1,0.0,0.7340674007340674,None,20.0,1.0,1.0,31,USACO,2024,combined,USACO-2024-January_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,32,USACO,2024,combined,USACO-2024-January_Contest-combined
