Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-o3-mini-high,2472.0,9,6,3,66.66666666666666,82.48248248248248,Gold,834.0,700.0,938.0,1,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gemini-2.5-pro,2039.0,9,5,2,55.55555555555556,68.0347013680347,Gold,667.0,667.0,705.0,2,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gemini-2.5-flash,1749.0,9,4,4,44.44444444444444,58.35835835835835,Bronze,1000.0,178.0,571.0,3,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-32B,1490.0,9,3,4,33.33333333333333,49.716383049716384,Bronze,667.0,201.0,622.0,4,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
deepseek-reasoner,1152.0,9,2,5,22.22222222222222,38.43843843843844,None,515.0,78.0,559.0,5,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
QwQ-32B,1127.0,9,1,6,11.11111111111111,37.60427093760427,None,570.0,234.0,323.0,6,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-30B,1063.0,9,2,5,22.22222222222222,35.4688021354688,None,403.0,101.0,559.0,7,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-14B,1046.0,9,2,4,22.22222222222222,34.90156823490157,None,445.0,167.0,434.0,8,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-8B,907.0,9,1,6,11.11111111111111,30.2635969302636,None,417.0,167.0,323.0,9,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,807.0,9,1,5,11.11111111111111,26.926926926926924,None,417.0,167.0,223.0,10,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-4.1,794.0,9,1,7,11.11111111111111,26.493159826493162,None,395.0,101.0,298.0,11,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-4B,625.0,9,1,3,11.11111111111111,20.854187520854186,None,334.0,68.0,223.0,12,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
deepseek-chat,616.0,9,0,7,0.0,20.553887220553886,None,237.0,56.0,323.0,13,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Llama-70B,482.0,9,1,2,11.11111111111111,16.082749416082752,None,376.0,1.0,105.0,14,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-32B-Non-Thinking,359.0,9,0,5,0.0,11.978645311978646,None,224.0,101.0,34.0,15,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-30B-Non-Thinking,353.0,9,0,4,0.0,11.778445111778444,None,251.0,101.0,1.0,16,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-Coder-14B-Instruct,281.0,9,0,5,0.0,9.376042709376042,None,98.0,101.0,82.0,17,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,258.0,9,0,2,0.0,8.608608608608609,None,1.0,68.0,189.0,18,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-Coder-32B-Instruct,249.0,9,0,4,0.0,8.308308308308309,None,43.0,101.0,105.0,19,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Llama-3.3-70B-Instruct,239.0,9,0,4,0.0,7.974641307974642,None,98.0,101.0,40.0,20,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-8B-Non-Thinking,174.0,9,0,2,0.0,5.805805805805806,None,1.0,68.0,105.0,21,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Mistral-Large-Instruct-2411,137.0,9,0,3,0.0,4.5712379045712375,None,29.0,68.0,40.0,22,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-14B-Non-Thinking,136.0,9,0,3,0.0,4.537871204537871,None,1.0,101.0,34.0,23,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-72B,131.0,9,0,3,0.0,4.371037704371037,None,29.0,101.0,1.0,24,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-4B-Non-Thinking,109.0,9,0,2,0.0,3.63697030363697,None,1.0,68.0,40.0,25,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Mistral-Small-3.1-24B-2503,98.0,9,0,2,0.0,3.2699366032699366,None,29.0,68.0,1.0,26,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,92.0,9,0,3,0.0,3.069736403069736,None,29.0,23.0,40.0,27,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen2.5-Coder-7B-Instruct,25.0,9,0,1,0.0,0.8341675008341675,None,1.0,23.0,1.0,28,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,29,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,30,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Codestral-22B-v0.1,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,31,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Llama-3.1-8B-Instruct,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,32,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
