Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-o3-mini-high,105.0,2,105.0,41.07,33.33,Bronze,45,52.17391304347826,1,52.5
gemini-2.5-pro,105.0,2,105.0,42.86,33.33,Bronze,45,52.17391304347826,2,52.5
DeepSeek-R1-Distill-Llama-70B,50.0,2,50.0,22.62,0.0,None,93,0.0,3,25.0
Qwen3-32B,33.0,2,33.0,14.81,0.0,None,93,0.0,4,16.5
gpt-4.1,19.0,2,19.0,10.12,0.0,None,93,0.0,5,9.5
Qwen3-14B,19.0,2,19.0,10.12,0.0,None,93,0.0,6,9.5
Qwen3-8B,19.0,2,19.0,10.12,0.0,None,93,0.0,7,9.5
Qwen2.5-72B,5.0,2,5.0,5.95,0.0,None,93,0.0,8,2.5
Qwen3-4B,5.0,2,5.0,5.95,0.0,None,93,0.0,9,2.5
Llama-3.1-8B-Instruct,5.0,2,5.0,5.95,0.0,None,93,0.0,10,2.5
Qwen3-14B-Non-Thinking,5.0,2,5.0,7.74,0.0,None,93,0.0,11,2.5
deepseek-reasoner,5.0,2,5.0,5.95,0.0,None,93,0.0,12,2.5
Mistral-Large-Instruct-2411,5.0,2,5.0,5.95,0.0,None,93,0.0,13,2.5
Qwen3-30B,5.0,2,5.0,5.95,0.0,None,93,0.0,14,2.5
Qwen3-30B-Non-Thinking,5.0,2,5.0,5.95,0.0,None,93,0.0,15,2.5
DeepSeek-R1-Distill-Qwen-32B,5.0,2,5.0,5.95,0.0,None,93,0.0,16,2.5
DeepSeek-R1-Distill-Qwen-14B,5.0,2,5.0,5.95,0.0,None,93,0.0,17,2.5
deepseek-chat,5.0,2,5.0,5.95,0.0,None,93,0.0,18,2.5
Qwen3-32B-Non-Thinking,5.0,2,5.0,5.95,0.0,None,93,0.0,19,2.5
Qwen3-4B-Non-Thinking,0.0,2,0.0,0.0,0.0,None,93,0.0,20,0.0
gemini-2.5-flash,0.0,2,0.0,5.36,0.0,None,93,0.0,21,0.0
Qwen2.5-Coder-14B-Instruct,0.0,2,0.0,1.56,0.0,None,93,0.0,22,0.0
Mistral-Small-3.1-24B-2503,0.0,2,0.0,0.0,0.0,None,93,0.0,23,0.0
Qwen2.5-Coder-32B-Instruct,0.0,2,0.0,0.0,0.0,None,93,0.0,24,0.0
Qwen2.5-Coder-7B-Instruct,0.0,2,0.0,0.0,0.0,None,93,0.0,25,0.0
Codestral-22B-v0.1,0.0,2,0.0,0.0,0.0,None,93,0.0,26,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,2,0.0,0.0,0.0,None,93,0.0,27,0.0
DeepSeek-R1-Distill-Qwen-7B,0.0,2,0.0,0.0,0.0,None,93,0.0,28,0.0
QwQ-32B,0.0,2,0.0,0.0,0.0,None,93,0.0,29,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,2,0.0,0.0,0.0,None,93,0.0,30,0.0
Qwen3-8B-Non-Thinking,0.0,2,0.0,0.0,0.0,None,93,0.0,31,0.0
Llama-3.3-70B-Instruct,0.0,2,0.0,0.6,0.0,None,93,0.0,32,0.0
