Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,181.0,6,181.0,74.46,16.67,None,37,50.0,1,30.17
gemini-2.5-flash,92.0,6,92.0,51.12,0.0,None,56,23.61111111111111,2,15.33
gpt-o3-mini-high,92.0,6,92.0,37.45,0.0,None,56,23.61111111111111,3,15.33
deepseek-reasoner,60.0,6,60.0,49.95,0.0,None,61,16.666666666666668,4,10.0
gpt-4.1,47.0,6,47.0,28.65,0.0,None,64,12.5,5,7.83
Qwen3-32B,40.0,6,40.0,42.77,0.0,None,66,9.722222222222221,6,6.67
Qwen3-30B,37.0,6,37.0,43.0,0.0,None,66,9.722222222222221,7,6.17
QwQ-32B,37.0,6,37.0,36.54,0.0,None,66,9.722222222222221,8,6.17
Qwen3-14B,24.0,6,24.0,47.7,0.0,None,69,5.555555555555555,9,4.0
Qwen2.5-72B,20.0,6,20.0,22.81,0.0,None,70,4.166666666666667,10,3.33
DeepSeek-R1-Distill-Llama-70B,19.0,6,19.0,22.97,0.0,None,70,4.166666666666667,11,3.17
Qwen2.5-Coder-14B-Instruct,17.0,6,17.0,13.78,0.0,None,72,1.3888888888888888,12,2.83
deepseek-chat,13.0,6,13.0,21.34,0.0,None,72,1.3888888888888888,13,2.17
DeepSeek-R1-Distill-Qwen-32B,11.0,6,11.0,11.59,0.0,None,72,1.3888888888888888,14,1.83
Qwen3-8B-Non-Thinking,11.0,6,11.0,11.8,0.0,None,72,1.3888888888888888,15,1.83
Qwen3-30B-Non-Thinking,11.0,6,11.0,15.46,0.0,None,72,1.3888888888888888,16,1.83
Qwen3-8B,9.0,6,9.0,27.01,0.0,None,73,0.0,17,1.5
Mistral-Large-Instruct-2411,9.0,6,9.0,10.97,0.0,None,73,0.0,18,1.5
DeepSeek-Coder-V2-Lite-Instruct,9.0,6,9.0,12.86,0.0,None,73,0.0,19,1.5
Codestral-22B-v0.1,8.0,6,8.0,7.75,0.0,None,73,0.0,20,1.33
DeepSeek-R1-Distill-Qwen-14B,8.0,6,8.0,9.7,0.0,None,73,0.0,21,1.33
Qwen3-4B,8.0,6,8.0,9.28,0.0,None,73,0.0,22,1.33
DeepSeek-R1-Distill-Qwen-7B,0.0,6,0.0,0.0,0.0,None,73,0.0,23,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,6,0.0,0.0,0.0,None,73,0.0,24,0.0
Qwen2.5-Coder-7B-Instruct,0.0,6,0.0,2.45,0.0,None,73,0.0,25,0.0
Llama-3.1-8B-Instruct,0.0,6,0.0,2.76,0.0,None,73,0.0,26,0.0
Qwen3-14B-Non-Thinking,0.0,6,0.0,4.28,0.0,None,73,0.0,27,0.0
Qwen3-4B-Non-Thinking,0.0,6,0.0,4.32,0.0,None,73,0.0,28,0.0
Llama-3.3-70B-Instruct,0.0,6,0.0,5.61,0.0,None,73,0.0,29,0.0
Mistral-Small-3.1-24B-2503,0.0,6,0.0,4.27,0.0,None,73,0.0,30,0.0
Qwen2.5-Coder-32B-Instruct,0.0,6,0.0,7.96,0.0,None,73,0.0,31,0.0
Qwen3-32B-Non-Thinking,0.0,6,0.0,10.24,0.0,None,73,0.0,32,0.0
