Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-o3-mini-high,75.0,5,75.0,100.0,100.0,Gold,1,100.0,1,100.0
gemini-2.5-pro,75.0,5,75.0,100.0,100.0,Gold,1,100.0,2,100.0
gemini-2.5-flash,75.0,5,75.0,100.0,100.0,Gold,1,100.0,3,100.0
deepseek-reasoner,75.0,5,75.0,100.0,100.0,Gold,1,100.0,4,100.0
gpt-4.1,75.0,5,75.0,100.0,100.0,Gold,1,100.0,5,100.0
QwQ-32B,75.0,5,75.0,100.0,100.0,Gold,1,100.0,6,100.0
Qwen3-8B,75.0,5,75.0,100.0,100.0,Gold,1,100.0,7,100.0
DeepSeek-R1-Distill-Qwen-14B,75.0,5,75.0,100.0,100.0,Gold,1,100.0,8,100.0
Qwen3-30B,75.0,5,75.0,100.0,100.0,Gold,1,100.0,9,100.0
DeepSeek-R1-Distill-Llama-70B,75.0,5,75.0,100.0,100.0,Gold,1,100.0,10,100.0
Qwen3-32B,75.0,5,75.0,100.0,100.0,Gold,1,100.0,11,100.0
DeepSeek-R1-Distill-Qwen-32B,72.0,5,72.0,96.13,80.0,Gold,2,99.98383185125303,12,96.0
Qwen2.5-Coder-32B-Instruct,66.0,5,66.0,88.39,80.0,Gold,8,99.88682295877122,13,88.0
Mistral-Large-Instruct-2411,66.0,5,66.0,88.39,80.0,Gold,8,99.88682295877122,14,88.0
Qwen2.5-Coder-14B-Instruct,66.0,5,66.0,88.39,80.0,Gold,8,99.88682295877122,15,88.0
deepseek-chat,66.0,5,66.0,92.26,80.0,Gold,8,99.88682295877122,16,88.0
Qwen3-32B-Non-Thinking,66.0,5,66.0,88.39,80.0,Gold,8,99.88682295877122,17,88.0
Qwen3-14B,63.0,5,63.0,87.1,80.0,Gold,11,99.83831851253032,18,84.0
Qwen2.5-72B,63.0,5,63.0,83.23,80.0,Gold,11,99.83831851253032,19,84.0
Qwen3-30B-Non-Thinking,63.0,5,63.0,87.1,80.0,Gold,11,99.83831851253032,20,84.0
Qwen3-4B,63.0,5,63.0,87.1,80.0,Gold,11,99.83831851253032,21,84.0
Mistral-Small-3.1-24B-2503,63.0,5,63.0,84.52,80.0,Gold,11,99.83831851253032,22,84.0
Codestral-22B-v0.1,60.0,5,60.0,82.58,80.0,Silver,14,99.78981406628941,23,80.0
Qwen3-4B-Non-Thinking,60.0,5,60.0,81.94,80.0,Silver,14,99.78981406628941,24,80.0
Llama-3.1-8B-Instruct,51.0,5,51.0,64.44,60.0,Silver,23,99.64430072756669,25,68.0
Llama-3.3-70B-Instruct,48.0,5,48.0,71.23,60.0,Bronze,26,99.59579628132579,26,64.0
DeepSeek-R1-Distill-Llama-8B,45.0,5,45.0,60.0,60.0,Bronze,29,99.54729183508488,27,60.0
Qwen2.5-Coder-7B-Instruct,36.0,5,36.0,52.44,40.0,None,38,99.40177849636217,28,48.0
DeepSeek-Coder-V2-Lite-Instruct,36.0,5,36.0,52.44,40.0,None,38,99.40177849636217,29,48.0
Qwen3-8B-Non-Thinking,33.0,5,33.0,54.03,50.0,None,41,99.35327405012126,30,44.0
DeepSeek-R1-Distill-Qwen-7B,0.0,5,0.0,0.0,0.0,None,74,98.8197251414713,31,0.0
