Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,489.0,6,489.0,83.18,66.67,Gold,6,97.38219895287958,1,81.5
gpt-o3-mini-high,340.0,6,340.0,65.09,50.0,Gold,13,93.717277486911,2,56.67
gemini-2.5-flash,319.0,6,319.0,68.83,33.33,Gold,14,93.19371727748691,3,53.17
Qwen3-14B,269.0,6,269.0,52.42,33.33,Silver,20,90.05235602094241,4,44.83
gpt-4.1,251.0,6,251.0,50.69,33.33,Silver,20,90.05235602094241,5,41.83
Qwen3-32B,251.0,6,251.0,48.84,33.33,Silver,20,90.05235602094241,6,41.83
QwQ-32B,240.0,6,240.0,46.81,33.33,Silver,20,90.05235602094241,7,40.0
deepseek-reasoner,240.0,6,240.0,46.81,33.33,Silver,20,90.05235602094241,8,40.0
deepseek-chat,200.0,6,200.0,37.25,33.33,Silver,28,85.86387434554973,9,33.33
Qwen3-8B,191.0,6,191.0,47.54,16.67,Silver,28,85.86387434554973,10,31.83
Qwen3-30B,180.0,6,180.0,44.98,16.67,Silver,29,85.34031413612566,11,30.0
DeepSeek-R1-Distill-Llama-70B,140.0,6,140.0,30.66,16.67,Silver,33,83.24607329842932,12,23.33
DeepSeek-R1-Distill-Qwen-14B,130.0,6,130.0,42.26,0.0,Silver,36,81.67539267015707,13,21.67
DeepSeek-R1-Distill-Qwen-32B,130.0,6,130.0,43.3,0.0,Silver,36,81.67539267015707,14,21.67
Qwen3-4B,100.0,6,100.0,30.36,0.0,Silver,47,75.91623036649214,15,16.67
Llama-3.3-70B-Instruct,60.0,6,60.0,27.8,0.0,Bronze,71,63.35078534031414,16,10.0
Qwen3-32B-Non-Thinking,40.0,6,40.0,19.01,0.0,Bronze,81,58.1151832460733,17,6.67
Qwen2.5-Coder-32B-Instruct,40.0,6,40.0,18.91,0.0,Bronze,81,58.1151832460733,18,6.67
Qwen3-8B-Non-Thinking,40.0,6,40.0,18.74,0.0,Bronze,81,58.1151832460733,19,6.67
Qwen3-30B-Non-Thinking,40.0,6,40.0,17.18,0.0,Bronze,81,58.1151832460733,20,6.67
Mistral-Small-3.1-24B-2503,40.0,6,40.0,17.18,0.0,Bronze,81,58.1151832460733,21,6.67
Llama-3.1-8B-Instruct,5.0,6,5.0,14.1,0.0,None,121,37.17277486910995,22,0.83
DeepSeek-R1-Distill-Qwen-7B,0.0,6,0.0,0.0,0.0,None,123,36.12565445026178,23,0.0
Qwen3-4B-Non-Thinking,0.0,6,0.0,0.52,0.0,None,123,36.12565445026178,24,0.0
Qwen3-14B-Non-Thinking,0.0,6,0.0,5.15,0.0,None,123,36.12565445026178,25,0.0
Qwen2.5-Coder-14B-Instruct,0.0,6,0.0,2.87,0.0,None,123,36.12565445026178,26,0.0
Qwen2.5-Coder-7B-Instruct,0.0,6,0.0,2.39,0.0,None,123,36.12565445026178,27,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,6,0.0,0.52,0.0,None,123,36.12565445026178,28,0.0
Codestral-22B-v0.1,0.0,6,0.0,2.45,0.0,None,123,36.12565445026178,29,0.0
Mistral-Large-Instruct-2411,0.0,6,0.0,8.79,0.0,None,123,36.12565445026178,30,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,6,0.0,0.72,0.0,None,123,36.12565445026178,31,0.0
Qwen2.5-72B,0.0,6,0.0,7.7,0.0,None,123,36.12565445026178,32,0.0
