Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-o3-mini-high,34.0,5,34.0,47.21,40.0,Silver,27,99.34127185203953,1,45.33
gemini-2.5-pro,34.0,5,34.0,48.85,40.0,Silver,27,99.34127185203953,2,45.33
gemini-2.5-flash,32.0,5,32.0,47.26,40.0,Silver,29,99.29060045604257,3,42.67
DeepSeek-R1-Distill-Llama-70B,30.0,5,30.0,42.83,40.0,Bronze,31,99.23992906004561,4,40.0
Mistral-Small-3.1-24B-2503,30.0,5,30.0,40.53,40.0,Bronze,31,99.23992906004561,5,40.0
Llama-3.3-70B-Instruct,30.0,5,30.0,40.93,40.0,Bronze,31,99.23992906004561,6,40.0
Qwen3-30B-Non-Thinking,30.0,5,30.0,40.53,40.0,Bronze,31,99.23992906004561,7,40.0
DeepSeek-R1-Distill-Qwen-32B,30.0,5,30.0,43.23,40.0,Bronze,31,99.23992906004561,8,40.0
Qwen3-30B,30.0,5,30.0,44.12,40.0,Bronze,31,99.23992906004561,9,40.0
Qwen3-4B,30.0,5,30.0,43.23,40.0,Bronze,31,99.23992906004561,10,40.0
DeepSeek-R1-Distill-Qwen-14B,30.0,5,30.0,40.75,40.0,Bronze,31,99.23992906004561,11,40.0
Codestral-22B-v0.1,30.0,5,30.0,40.4,40.0,Bronze,31,99.23992906004561,12,40.0
Qwen3-8B,30.0,5,30.0,41.11,40.0,Bronze,31,99.23992906004561,13,40.0
Qwen3-14B-Non-Thinking,30.0,5,30.0,40.53,40.0,Bronze,31,99.23992906004561,14,40.0
Mistral-Large-Instruct-2411,30.0,5,30.0,42.12,40.0,Bronze,31,99.23992906004561,15,40.0
Qwen2.5-Coder-32B-Instruct,30.0,5,30.0,40.53,40.0,Bronze,31,99.23992906004561,16,40.0
Qwen3-32B-Non-Thinking,30.0,5,30.0,40.93,40.0,Bronze,31,99.23992906004561,17,40.0
Qwen2.5-Coder-14B-Instruct,30.0,5,30.0,50.66,50.0,Bronze,31,99.23992906004561,18,40.0
Qwen2.5-72B,30.0,5,30.0,54.48,50.0,Bronze,31,99.23992906004561,19,40.0
deepseek-reasoner,30.0,5,30.0,43.94,40.0,Bronze,31,99.23992906004561,20,40.0
QwQ-32B,30.0,5,30.0,41.46,40.0,Bronze,31,99.23992906004561,21,40.0
Qwen3-32B,30.0,5,30.0,42.88,40.0,Bronze,31,99.23992906004561,22,40.0
gpt-4.1,30.0,5,30.0,42.88,40.0,Bronze,31,99.23992906004561,23,40.0
deepseek-chat,30.0,5,30.0,42.48,40.0,Bronze,31,99.23992906004561,24,40.0
DeepSeek-R1-Distill-Llama-8B,30.0,5,30.0,40.0,40.0,Bronze,31,99.23992906004561,25,40.0
Qwen3-4B-Non-Thinking,30.0,5,30.0,40.35,40.0,Bronze,31,99.23992906004561,26,40.0
Qwen3-14B,30.0,5,30.0,42.88,40.0,Bronze,31,99.23992906004561,27,40.0
Qwen2.5-Coder-7B-Instruct,20.0,5,20.0,26.84,20.0,None,41,98.98657208006081,28,26.67
DeepSeek-Coder-V2-Lite-Instruct,17.0,5,17.0,27.98,20.0,None,44,98.91056498606537,29,22.67
Llama-3.1-8B-Instruct,15.0,5,15.0,23.32,20.0,None,46,98.85989359006841,30,20.0
Qwen3-8B-Non-Thinking,15.0,5,15.0,20.93,20.0,None,46,98.85989359006841,31,20.0
DeepSeek-R1-Distill-Qwen-7B,0.0,5,0.0,0.0,0.0,None,61,98.47985812009121,32,0.0
