Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,419.0,5,419.0,95.5,80.0,Gold,7,97.02970297029702,1,83.8
gpt-o3-mini-high,380.0,5,380.0,80.0,80.0,Gold,9,96.03960396039604,2,76.0
gemini-2.5-flash,361.0,5,361.0,93.0,80.0,Gold,9,96.03960396039604,3,72.2
QwQ-32B,348.0,5,348.0,74.9,60.0,Gold,9,96.03960396039604,4,69.6
Qwen3-14B,315.0,5,315.0,73.0,60.0,Gold,13,94.05940594059406,5,63.0
deepseek-reasoner,315.0,5,315.0,72.5,60.0,Gold,13,94.05940594059406,6,63.0
Qwen3-32B,315.0,5,315.0,73.0,60.0,Gold,13,94.05940594059406,7,63.0
Qwen3-30B,290.0,5,290.0,65.7,60.0,Gold,14,93.56435643564356,8,58.0
gpt-4.1,205.0,5,205.0,52.5,40.0,Silver,28,86.63366336633663,9,41.0
DeepSeek-R1-Distill-Llama-70B,160.0,5,160.0,41.0,40.0,Bronze,54,73.76237623762377,10,32.0
Qwen3-8B,133.0,5,133.0,38.23,20.0,Bronze,65,68.31683168316832,11,26.6
Qwen2.5-72B,128.0,5,128.0,39.66,20.0,Bronze,65,68.31683168316832,12,25.6
Qwen3-4B,70.0,5,70.0,29.66,20.0,Bronze,85,58.415841584158414,13,14.0
Qwen3-32B-Non-Thinking,70.0,5,70.0,37.66,20.0,Bronze,85,58.415841584158414,14,14.0
Qwen2.5-Coder-32B-Instruct,70.0,5,70.0,37.66,20.0,Bronze,85,58.415841584158414,15,14.0
Qwen3-30B-Non-Thinking,70.0,5,70.0,29.66,20.0,Bronze,85,58.415841584158414,16,14.0
Llama-3.3-70B-Instruct,70.0,5,70.0,24.9,20.0,Bronze,85,58.415841584158414,17,14.0
deepseek-chat,70.0,5,70.0,30.46,20.0,Bronze,85,58.415841584158414,18,14.0
Mistral-Small-3.1-24B-2503,70.0,5,70.0,24.9,20.0,Bronze,85,58.415841584158414,19,14.0
Qwen3-4B-Non-Thinking,70.0,5,70.0,24.4,20.0,Bronze,85,58.415841584158414,20,14.0
DeepSeek-R1-Distill-Qwen-14B,50.0,5,50.0,23.67,20.0,None,152,25.247524752475247,21,10.0
Qwen3-14B-Non-Thinking,50.0,5,50.0,24.63,20.0,None,152,25.247524752475247,22,10.0
DeepSeek-R1-Distill-Qwen-32B,50.0,5,50.0,25.26,20.0,None,152,25.247524752475247,23,10.0
Qwen3-8B-Non-Thinking,39.0,5,39.0,13.81,0.0,None,186,8.415841584158416,24,7.8
Qwen2.5-Coder-14B-Instruct,39.0,5,39.0,14.31,0.0,None,186,8.415841584158416,25,7.8
Mistral-Large-Instruct-2411,39.0,5,39.0,14.81,0.0,None,186,8.415841584158416,26,7.8
DeepSeek-Coder-V2-Lite-Instruct,39.0,5,39.0,13.81,0.0,None,186,8.415841584158416,27,7.8
Codestral-22B-v0.1,20.0,5,20.0,6.75,0.0,None,187,7.920792079207921,28,4.0
Llama-3.1-8B-Instruct,20.0,5,20.0,4.4,0.0,None,187,7.920792079207921,29,4.0
Qwen2.5-Coder-7B-Instruct,20.0,5,20.0,4.4,0.0,None,187,7.920792079207921,30,4.0
DeepSeek-R1-Distill-Llama-8B,0.0,5,0.0,0.0,0.0,None,194,4.455445544554456,31,0.0
