Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-o3-mini-high,38.0,6,38.0,34.95,16.67,Bronze,16,16.666666666666668,1,25.33
Qwen3-32B,36.0,6,36.0,31.09,16.67,Bronze,17,11.11111111111111,2,24.0
Qwen3-14B,36.0,6,36.0,28.75,16.67,Bronze,17,11.11111111111111,3,24.0
Qwen3-8B,34.0,6,34.0,26.66,16.67,Bronze,17,11.11111111111111,4,22.67
deepseek-reasoner,31.0,6,31.0,27.76,16.67,Bronze,17,11.11111111111111,5,20.67
QwQ-32B,31.0,6,31.0,26.83,0.0,Bronze,17,11.11111111111111,6,20.67
gemini-2.5-flash,28.0,6,28.0,30.81,16.67,Bronze,18,5.555555555555555,7,18.67
Qwen3-30B,26.0,6,26.0,23.9,16.67,Bronze,18,5.555555555555555,8,17.33
gemini-2.5-pro,26.0,6,26.0,32.8,16.67,Bronze,18,5.555555555555555,9,17.33
Qwen3-4B,19.0,6,19.0,28.79,0.0,None,19,0.0,10,12.67
DeepSeek-R1-Distill-Qwen-32B,14.0,6,14.0,13.57,0.0,None,19,0.0,11,9.33
gpt-4.1,13.0,6,13.0,16.08,0.0,None,19,0.0,12,8.67
Qwen3-8B-Non-Thinking,9.0,6,9.0,9.16,0.0,None,19,0.0,13,6.0
Mistral-Large-Instruct-2411,6.0,6,6.0,8.36,0.0,None,19,0.0,14,4.0
DeepSeek-R1-Distill-Llama-70B,6.0,6,6.0,10.72,0.0,None,19,0.0,15,4.0
Qwen2.5-Coder-32B-Instruct,3.0,6,3.0,6.94,0.0,None,19,0.0,16,2.0
Codestral-22B-v0.1,1.0,6,1.0,5.75,0.0,None,19,0.0,17,0.67
Mistral-Small-3.1-24B-2503,1.0,6,1.0,2.48,0.0,None,19,0.0,18,0.67
Llama-3.1-8B-Instruct,1.0,6,1.0,4.44,0.0,None,19,0.0,19,0.67
deepseek-chat,1.0,6,1.0,13.18,0.0,None,19,0.0,20,0.67
Qwen3-30B-Non-Thinking,1.0,6,1.0,8.13,0.0,None,19,0.0,21,0.67
Qwen2.5-72B,1.0,6,1.0,8.32,0.0,None,19,0.0,22,0.67
Qwen2.5-Coder-7B-Instruct,1.0,6,1.0,3.97,0.0,None,19,0.0,23,0.67
DeepSeek-Coder-V2-Lite-Instruct,1.0,6,1.0,4.99,0.0,None,19,0.0,24,0.67
DeepSeek-R1-Distill-Llama-8B,0.0,6,0.0,0.0,0.0,None,19,0.0,25,0.0
Qwen3-14B-Non-Thinking,0.0,6,0.0,0.0,0.0,None,19,0.0,26,0.0
Qwen3-4B-Non-Thinking,0.0,6,0.0,2.18,0.0,None,19,0.0,27,0.0
Qwen3-32B-Non-Thinking,0.0,6,0.0,8.64,0.0,None,19,0.0,28,0.0
Llama-3.3-70B-Instruct,0.0,6,0.0,4.79,0.0,None,19,0.0,29,0.0
DeepSeek-R1-Distill-Qwen-14B,0.0,6,0.0,1.22,0.0,None,19,0.0,30,0.0
Qwen2.5-Coder-14B-Instruct,0.0,6,0.0,6.08,0.0,None,19,0.0,31,0.0
