problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
milano,RUNTIME_ERROR,0,2.38%,0.090,6.19140625,,0,0,0,0,0
restorani,RUNTIME_ERROR,0,0.68%,0.170,30.98046875,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.060,2.5859375,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,45,46.76%,2.230,4.64453125,,10,0,35,0,0
roboti,TIME_LIMIT_EXCEEDED,0,9.09%,2.210,560.23046875,,0,0,0,0,0
pahuljice,RUNTIME_ERROR,11,74.07%,0.000,0,,11,0,0,0,0
pingvin,RUNTIME_ERROR,16,31.25%,0.080,6.44921875,,0,16,0,0,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,5.41%,0.000,0,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,42.50%,2.260,3.15234375,,10,0,0,0,0
sudoku,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
labirint,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
an2dl,TIME_LIMIT_EXCEEDED,29,83.33%,4.820,66.83203125,,12,17,0,0,0
kocke,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,161,15.82%,,,4.00%,,,,,
