problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,RUNTIME_ERROR,1,20.00%,0.070,0.00390625,,0,1,0,0,0,0,0
s2,ACCEPTED,15,100.00%,0.020,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.060,15.21875,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,11.50%,0.030,4.91015625,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,8,28.57%,4.810,111.00390625,,0,0,0,8,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,ACCEPTED,25,100.00%,0.020,0.00390625,,25,0,0,0,0,0,0
d2p2,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,1.15%,4.800,100.01171875,,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.020,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.030,0.00390625,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,3,16.13%,0.020,1.49609375,,3,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.020,1.5546875,,1,4,5,5,0,0,0
TOTAL,,97,38.62%,,,33.33%,,,,,,,
