problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.120,7.7421875,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.080,3.62109375,,21,18,31,40,0
cesta,ACCEPTED,110,100.00%,100.00%,0.790,115.80078125,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.110,1.55859375,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,100.00%,0.300,3.6171875,,16,26,32,36,0
trokut,RUNTIME_ERROR,13,11.82%,12.50%,0.060,0.00390625,,13,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,2.7890625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,0.00%,3.85%,0.000,0,,0,0,0,0,0
putovanje,ACCEPTED,110,100.00%,100.00%,1.220,5.21484375,,10,20,35,45,0
roboti,TIME_LIMIT_EXCEEDED,23,20.91%,54.55%,2.410,18.30859375,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.060,6.44921875,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.00%,0.070,10.9453125,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.060,15.7421875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.140,11.3515625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.060,2.05078125,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,0.650,100.75,,12,17,25,56,0
TOTAL,,1446,,80.50%,,,77.27%,,,,,
