solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
d1p3_Mistral-Large-Instruct-2411_0.cpp,RUNTIME_ERROR,0,0.00%,2.88%,0.160,6.4140625,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_1.cpp,RUNTIME_ERROR,0,0.00%,4.81%,0.260,28.17578125,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_2.cpp,RUNTIME_ERROR,0,0.00%,4.81%,0.230,30.01171875,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_3.cpp,RUNTIME_ERROR,0,0.00%,1.92%,0.150,26.046875,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,2.88%,2.410,5.296875,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_5.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,3.85%,2.410,6.96875,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
d1p3_Mistral-Large-Instruct-2411_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.92%,2.430,7.296875,0,0,0,0,0,0,0,0
