problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.070,0,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,14.71%,0.310,77.75,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.160,1.5546875,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.210,16.51171875,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,8.51%,2.230,3.1796875,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.070,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.110,3.640625,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,12.90%,0.230,25.0546875,,0,27,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.070,0.00390625,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,0.120,1.59375,,6,13,23,28,0,0
razlicitost,RUNTIME_ERROR,25,37.21%,0.200,4.39453125,,25,0,0,0,0,0
blistavost,ACCEPTED,120,100.00%,0.080,2.87890625,,20,25,55,20,0,0
trokuti,MEMORY_LIMIT_EXCEEDED,13,25.96%,0.080,3.875,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.140,12.125,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.350,20.16015625,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,3.28%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,15,33.87%,0.000,0,,0,0,0,15,0,0
TOTAL,,930,54.34%,,,48.00%,,,,,,
