problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,5,16.36%,0.870,3.6171875,,5,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.130,1.81640625,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.150,1.921875,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.210,33.78515625,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,42.15%,0.000,0,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.210,32.01953125,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.200,5.5546875,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.130,3.171875,,40,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,MEMORY_LIMIT_EXCEEDED,0,2.86%,0.130,2.84765625,,0,0,0,0,0,0,0,0,0,0
TOTAL,,290,30.37%,,,18.18%,,,,,,,,,,
