problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,1.12%,0.090,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.140,3.09765625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.410,25.2578125,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,47.45%,4.450,5.42578125,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,30,24.11%,0.250,30.875,,0.0,0,0,0,0,0,0,19.0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,66,57.26%,0.110,1.5546875,,0,0,0,0,0,0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,10,39.57%,7.820,8.7265625,,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,RUNTIME_ERROR,0,5.21%,0.100,1.49609375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,53.36%,3.340,104.2109375,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.460,2.82421875,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,RUNTIME_ERROR,0,0.88%,0.360,2.84375,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,0.200,8.3125,,0.0,17.0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,444,31.88%,,,17.65%,,,,,,,,,,,,,
