Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,beechtree,beechtree_rel,closing,closing_rel,longesttrip,longesttrip_rel,overtaking,overtaking_rel,robot,robot_rel,soccer,soccer_rel
gpt-5,183.00,,42.19%,16.67%,0.495,33.58,6,9.00,,43.00,,25.00,,100.00,,0.00,,6.00,
gemini-2.5-pro,160.00,,42.57%,0.00%,1.692,378.30,6,0.00,,75.00,,40.00,,39.00,,6.00,,0.00,
gpt-oss-120b-high,128.00,,31.98%,16.67%,0.565,35.97,6,9.00,,8.00,,5.00,,100.00,,0.00,,6.00,
seed-oss_-1,125.00,,29.37%,0.00%,0.628,17.94,6,0.00,,8.00,,40.00,,65.00,,6.00,,6.00,
seed-oss_8192,119.00,,26.10%,0.00%,0.570,13.86,6,0.00,,8.00,,40.00,,65.00,,6.00,,0.00,
gpt-o3-mini-high,112.00,,29.63%,0.00%,0.903,24.15,6,9.00,,17.00,,15.00,,65.00,,6.00,,0.00,
seed-oss_16384,100.00,,24.76%,0.00%,0.870,45.60,6,0.00,,8.00,,15.00,,65.00,,6.00,,6.00,
Qwen3-32B,87.00,,27.01%,0.00%,0.797,248.45,6,0.00,,17.00,,5.00,,65.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,69.00,,21.66%,0.00%,1.078,235.06,6,0.00,,0.00,,30.00,,39.00,,0.00,,0.00,
gemini-2.5-flash,63.00,,20.68%,0.00%,1.010,63.52,6,9.00,,0.00,,15.00,,39.00,,0.00,,0.00,
deepseek-chat,62.00,,22.67%,0.00%,0.822,12.10,6,0.00,,8.00,,15.00,,39.00,,0.00,,0.00,
QwQ-32B,59.00,,14.69%,0.00%,0.102,0.67,6,0.00,,0.00,,40.00,,19.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,44.00,,14.29%,0.00%,0.492,8.22,6,0.00,,0.00,,5.00,,39.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,44.00,,15.83%,0.00%,1.078,4.92,6,0.00,,0.00,,5.00,,39.00,,0.00,,0.00,
gpt-oss-20b-medium,42.00,,16.76%,0.00%,0.362,10.03,6,0.00,,17.00,,15.00,,10.00,,0.00,,0.00,
gpt-oss-20b-high,41.00,,16.78%,0.00%,0.424,6.29,5,N/A,,17.00,,5.00,,19.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,39.00,,12.39%,0.00%,0.755,3.53,6,0.00,,0.00,,0.00,,39.00,,0.00,,0.00,
gpt-oss-20b-low,32.00,,9.90%,0.00%,0.037,8.81,6,0.00,,8.00,,5.00,,19.00,,0.00,,0.00,
Qwen3-30B,32.00,,12.90%,0.00%,0.320,11.20,6,0.00,,8.00,,5.00,,19.00,,0.00,,0.00,
gpt-4.1,32.00,,11.26%,0.00%,0.368,15.08,6,0.00,,8.00,,5.00,,19.00,,0.00,,0.00,
gpt-oss-120b-low,32.00,,13.36%,0.00%,0.370,9.42,6,0.00,,8.00,,5.00,,19.00,,0.00,,0.00,
gpt-oss-120b-medium,32.00,5.33%,14.59%,0.00%,0.372,9.47,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,23.00,,12.72%,0.00%,0.067,11.32,6,0.00,,8.00,,5.00,,10.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,19.00,,9.14%,0.00%,0.640,5.85,6,0.00,,0.00,,0.00,,19.00,,0.00,,0.00,
seed-oss_512,15.00,,4.67%,0.00%,0.040,13.78,6,0.00,,0.00,,15.00,,0.00,,0.00,,0.00,
seed-oss_2048,15.00,,4.82%,0.00%,0.052,4.68,6,0.00,,0.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-8B,13.00,,7.28%,0.00%,0.332,8.69,6,0.00,,8.00,,5.00,,0.00,,0.00,,0.00,
deepseek-reasoner,13.00,,9.81%,0.00%,0.340,12.88,6,0.00,,8.00,,5.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,13.00,,8.42%,0.00%,0.465,9.31,6,0.00,,8.00,,5.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,13.00,,10.41%,0.00%,0.578,9.10,6,0.00,,8.00,,5.00,,0.00,,0.00,,0.00,
seed-oss_0,5.00,,1.65%,0.00%,0.023,4.87,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,5.00,,2.36%,0.00%,0.025,1.28,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,5.00,,4.72%,0.00%,0.072,10.38,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
seed-oss_4096,5.00,,3.10%,0.00%,0.237,2.22,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
seed-oss_1024,5.00,,5.51%,0.00%,0.315,11.58,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
Llama-4-Scout,5.00,,5.35%,0.00%,0.315,6.96,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
Qwen3-4B,5.00,,4.08%,0.00%,0.318,42.79,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,5.00,,5.30%,0.00%,0.992,5.20,6,0.00,,0.00,,5.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,0.15%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,1.70%,0.00%,0.027,4.81,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,0.66%,0.00%,0.202,2.09,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,0.55%,0.00%,0.278,147.42,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,0.65%,0.00%,0.288,4.62,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,3.04%,0.00%,0.315,7.68,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,2.15%,0.00%,0.475,3.34,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,1.76%,0.00%,0.623,7.80,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,5.52%,0.00%,0.678,7.78,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
