Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,d1p1,d1p1_rel,d1p2,d1p2_rel,d1p3,d1p3_rel,d2p1,d2p1_rel,d2p2,d2p2_rel,d2p3,d2p3_rel
gpt-5,87.00,,57.50%,50.00%,0.330,51.75,6,25.00,,25.00,,5.00,,0.00,,25.00,,7.00,
gpt-oss-120b-high,75.00,,50.38%,50.00%,0.313,49.86,6,25.00,,25.00,,0.00,,0.00,,25.00,,0.00,
gemini-2.5-pro,62.00,,46.43%,33.33%,1.838,40.01,6,25.00,,25.00,,0.00,,0.00,,7.00,,5.00,
gpt-oss-20b-high,55.00,,36.14%,33.33%,0.240,44.92,6,25.00,,25.00,,0.00,,0.00,,5.00,,0.00,
gpt-oss-120b-medium,55.00,36.67%,39.36%,33.33%,0.317,235.35,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,20.00%
gemini-2.5-flash,53.00,,38.26%,33.33%,2.190,224.69,6,25.00,,25.00,,0.00,,0.00,,0.00,,3.00,
gpt-oss-120b-low,51.00,,34.57%,33.33%,1.078,38.91,6,25.00,,25.00,,1.00,,0.00,,0.00,,0.00,
gpt-oss-20b-low,50.00,,33.52%,33.33%,0.193,17.35,6,25.00,,0.00,,0.00,,25.00,,0.00,,0.00,
gpt-oss-20b-medium,50.00,,33.81%,33.33%,0.293,51.80,6,25.00,,25.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_16384,50.00,,36.93%,33.33%,1.140,53.77,6,25.00,,25.00,,0.00,,0.00,,0.00,,0.00,
gpt-o3-mini-high,50.00,,36.07%,33.33%,1.807,46.38,6,25.00,,25.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_-1,50.00,,35.44%,33.33%,1.912,55.17,6,25.00,,25.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_8192,42.00,,26.06%,16.67%,1.482,63.25,6,25.00,,17.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,34.00,,23.41%,16.67%,0.790,261.11,6,25.00,,9.00,,0.00,,0.00,,0.00,,0.00,
deepseek-reasoner,34.00,,23.99%,16.67%,1.055,31.53,6,25.00,,9.00,,0.00,,0.00,,0.00,,0.00,
gpt-4.1,33.00,,23.48%,16.67%,1.087,59.14,6,25.00,,4.00,,1.00,,0.00,,0.00,,3.00,
seed-oss_512,33.00,,21.62%,16.67%,1.605,35.17,6,8.00,,0.00,,0.00,,25.00,,0.00,,0.00,
