problem,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,0,0,0,-1,-1,-1
karte,1,0,0,0,-1,-1
bojanje,0,0,0,-1,-1,-1
stablo,0,0,0,0,-1,-1
procesor,0,-1,-1,-1,-1,-1
wow,0,0,0,-1,-1,-1
zid,0,0,0,-1,-1,-1
tornjevi,0,0,0,0,0,-1
crtez,0,0,0,-1,-1,-1
stablo,0,0,0,0,-1,-1
sah,1,0,0,-1,-1,-1
benzinska,0,0,0,-1,-1,-1
xor,0,0,-1,-1,-1,-1
cipele,0,0,0,0,0,-1
tura,0,0,0,-1,-1,-1
paradoks,0,0,0,-1,-1,-1
igre,0,0,0,0,-1,-1
razlicitost,0,0,0,0,-1,-1
blistavost,0,0,0,0,-1,-1
trokuti,0,0,0,0,-1,-1
osobna,0,0,0,-1,-1,-1
skokovi,1,1,0,-1,-1,-1
hijerarhija,0,0,0,0,0,0
uciteljica,0,0,0,0,-1,-1
zbunjenost,0,0,0,0,0,-1
