problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,RUNTIME_ERROR,18,53.73%,0.450,0.00390625,,18,0,0,0,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.070,1.73828125,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,5.56%,0.000,0,,0,0,0,0,0,0
zid,RUNTIME_ERROR,0,0.00%,0.060,1.55078125,,0,0,0,0,0,0
tornjevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
crtez,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,RUNTIME_ERROR,13,26.47%,0.080,1.875,,13,0,0,0,0,0
benzinska,RUNTIME_ERROR,0,10.00%,0.100,4.39453125,,0,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.080,2.07421875,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.070,1.75390625,,0,0,0,0,0,0
paradoks,MEMORY_LIMIT_EXCEEDED,0,5.13%,0.070,1.6875,,0,0,0,0,0,0
igre,RUNTIME_ERROR,0,0.00%,0.080,0.00390625,,0,0,0,0,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,6.56%,0.070,0.00390625,,0,0,0,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
osobna,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,45,72.92%,5.530,2.84765625,,20,25,0,0,0,0
hijerarhija,RUNTIME_ERROR,0,9.72%,0.240,29.2265625,,0,0,0,0,0,0
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,1.61%,0.100,14.453125,,0,0,0,0,0,0
TOTAL,,76,8.65%,,,0.00%,,,,,,
