problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,52.50%,0.010,1.55859375,,3,3,0,0,0,0,0,0
s2,ACCEPTED,15,100.00%,0.090,96.94921875,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,0,2.38%,0.010,1.55859375,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,3,20.59%,0.210,32.23046875,,3,0,0,0,0,0,0,0
s5,MEMORY_LIMIT_EXCEEDED,0,1.56%,0.350,360.90625,,0,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,0.070,24.24609375,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,1.90%,0.860,112.671875,,0,0,0,0,0,0,0,0
d1p3,TIME_LIMIT_EXCEEDED,0,3.85%,2.410,26.3046875,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,29.46%,0.010,1.49609375,,1,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,2,9.38%,0.200,35.19921875,,2,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,35.85%,0.100,12.1171875,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,52.50%,0.010,0.00390625,,3,3,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.000,0,,2,2,2,9,0,0,0,0
TOTAL,,118,50.62%,,,37.50%,,,,,,,,
