Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,aquarelle,aquarelle_rel,parentheses,parentheses_rel,tolls,tolls_rel,twins,twins_rel,walk,walk_rel,xy,xy_rel
gemini-2.5-pro,489.00,81.50%,83.18%,66.67%,0.235,23.50,6,89.00,89.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
grok-4-fast-reasoning,440.00,73.33%,72.65%,66.67%,0.115,18.95,6,100.00,100.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,100.00,100.00%,0.00,0.00%
claude-sonnet-4.5,369.00,61.50%,78.54%,50.00%,0.262,14.61,6,29.00,29.00%,40.00,40.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
gpt-5,340.00,56.67%,55.98%,50.00%,0.120,14.85,6,100.00,100.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
gpt-o3-mini-high,340.00,56.67%,65.09%,50.00%,0.150,5.54,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,100.00,100.00%,0.00,0.00%
seed-oss_-1,329.00,54.83%,57.42%,33.33%,0.175,19.91,6,89.00,89.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,319.00,53.17%,68.83%,33.33%,0.248,10.86,6,29.00,29.00%,40.00,40.00%,100.00,100.00%,50.00,50.00%,100.00,100.00%,0.00,0.00%
gpt-oss-20b-medium,311.00,51.83%,59.05%,50.00%,0.198,9.66,6,11.00,11.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b_sp3,300.00,60.00%,60.00%,60.00%,0.112,20.78,5,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,N/A,N/A,0.00,0.00%
gpt-oss-20b-high,300.00,50.00%,55.90%,50.00%,0.127,9.59,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%
gpt-oss-20b-low,300.00,50.00%,58.64%,50.00%,0.152,7.53,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%
