problem,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,1,1,1,-1,-1
vrsar,1,1,1,1,-1
milano,1,1,1,1,-1
restorani,0,0,0,0,-1
cesta,0,0,0,0,-1
zlagalica,1,1,1,1,-1
bitovi,0,0,0,0,-1
piratski,1,1,1,-1,-1
rolete,0,1,0,0,-1
trokut,0,0,0,0,-1
bingo,1,1,1,-1,-1
knjige,1,1,1,-1,-1
lepeze,0,0,0,0,0
putovanje,1,1,1,1,-1
roboti,1,0,0,0,-1
pahuljice,1,1,1,-1,-1
pingvin,1,1,1,1,-1
dizalo,0,0,0,0,-1
kuglice,1,1,1,1,1
zatopljenje,1,1,1,1,-1
sudoku,1,1,1,1,-1
labirint,1,1,1,1,-1
an2dl,1,1,1,1,-1
kocke,0,0,0,0,-1
mostovi,1,1,0,0,0
