problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.060,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
zid,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.610,12.8984375,,7,11,17,29,26,0
crtez,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.090,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.160,6.17578125,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,3.10546875,,0,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,8.57%,12.24%,0.140,0.00390625,,6,0,0,0,0,0
razlicitost,RUNTIME_ERROR,25,27.78%,37.21%,1.990,494.60546875,,25,0,0,0,0,0
blistavost,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.100,15.47265625,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.060,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.130,2.84765625,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.510,16.16796875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.070,0.00390625,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,3.23%,0.070,0,,0,0,0,0,0,0
TOTAL,,534,,32.07%,,,28.00%,,,,,,
