solution,status,score,relative_score,%test passed,time,memory,subtask_0
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-8B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
