solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3
s3_DeepSeek-R1-Distill-Qwen-7B_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.040,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
s3_DeepSeek-R1-Distill-Qwen-7B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
