problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.060,6.7109375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.040,4.39453125,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,2.05%,0.160,61.36328125,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,0.630,111.8984375,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.050,1.8125,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,100.00%,0.070,5.94140625,,16,26,32,36,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.010,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.010,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.030,2.7890625,,7,27,36,0,0
lepeze,ACCEPTED,110,100.00%,100.00%,0.400,14.70703125,,12,16,30,12,40
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,84.89%,2.410,5.4921875,,10,20,35,0,0
roboti,ACCEPTED,110,100.00%,100.00%,0.370,27.2265625,,10,13,49,38,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.010,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.040,6.96484375,,7,16,22,25,0
dizalo,ACCEPTED,110,100.00%,100.00%,0.080,21.65625,,16,19,29,46,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.090,104.68359375,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.120,31.984375,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.020,2.06640625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.130,99.0078125,,12,17,25,56,0
kocke,ACCEPTED,110,100.00%,100.00%,0.230,192.33984375,,20,30,30,30,0
mostovi,TIME_LIMIT_EXCEEDED,42,38.18%,85.35%,3.600,25.87890625,,13,17,0,12,0
TOTAL,,1847,,86.89%,,,80.00%,,,,,
