problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.580,35.921875,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.090,3.6171875,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,2.05%,0.310,122.6015625,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,1.140,184.359375,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.030,1.5546875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.000,0,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,0.100,6.0,,16,26,32,36,0
trokut,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.050,2.7890625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,84.89%,2.210,5.9921875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,10,34.09%,2.210,34.33984375,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.060,6.44921875,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,64,57.89%,3.310,4.13671875,,16,19,29,0,0
kuglice,ACCEPTED,110,100.00%,0.090,70.1328125,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.140,17.3359375,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.050,0.00390625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.080,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.000,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.360,10.32421875,,13,17,0,0,0
TOTAL,,1469,74.12%,,,64.00%,,,,,
