solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_1.cpp,ACCEPTED,100,100.00%,100.00%,0.240,32.58984375,8,16,29,47
2024-ho-t2_Construction_Project_2_gpt-oss-120b_2.cpp,ACCEPTED,100,100.00%,100.00%,0.230,23.58984375,8,16,29,47
2024-ho-t2_Construction_Project_2_gpt-oss-120b_3.cpp,RUNTIME_ERROR,8,8.00%,2.08%,0.000,0,8,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-ho-t2_Construction_Project_2_gpt-oss-120b_5.cpp,ACCEPTED,100,100.00%,100.00%,0.270,36.6953125,8,16,29,47
2024-ho-t2_Construction_Project_2_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
