problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsar,RUNTIME_ERROR,0,0.00%,0.00%,0.070,2.84375,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,100.00%,0.150,4.70703125,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.110,21.1484375,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0,,0,0,0,0,0
bitovi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,RUNTIME_ERROR,7,10.00%,25.00%,0.070,2.015625,,7,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,45,40.91%,46.76%,2.420,4.375,,10,0,35,0,0
roboti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.060,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.070,6.44921875,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,0.00%,5.41%,0.050,0,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,9.09%,42.50%,2.420,2.07421875,,10,0,0,0,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
an2dl,TIME_LIMIT_EXCEEDED,29,26.36%,83.33%,4.810,67.04296875,,12,17,0,0,0
kocke,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,27.27%,56.78%,3.690,26.046875,,13,17,0,0,0
TOTAL,,451,,30.42%,,,20.00%,,,,,
