problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,9.21%,0.280,10.58203125
2024-sp_Ski_2,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tricolor_Lights,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,4.60%,0.010,0.00390625
2024-sp_Card_Collection,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,3.10%,0.000,0
2024-sp_JOI_Tour,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Island_Hopping,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Table_Tennis,Qwen3-14B-Non-Thinking,TIME_LIMIT_EXCEEDED,0,0.46%,1.110,91.01953125
