competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,DeepSeek-Coder-V2-Lite-Instruct,2671,9.50%,0.53,46.63,1.66%
APIO-2023,DeepSeek-Coder-V2-Lite-Instruct,35,28.03%,0.64,4.74,0.00%
APIO-2024,DeepSeek-Coder-V2-Lite-Instruct,0,0.00%,0.00,0.00,0.00%
BOI-2023,DeepSeek-Coder-V2-Lite-Instruct,9,12.86%,0.02,1.63,0.00%
BOI-2024,DeepSeek-Coder-V2-Lite-Instruct,0,2.63%,0.26,3.49,0.00%
BOI-2025,DeepSeek-Coder-V2-Lite-Instruct,0,1.82%,0.10,53.67,0.00%
CCO-2023,DeepSeek-Coder-V2-Lite-Instruct,63,30.77%,0.76,71.51,18.75%
CCO-2024,DeepSeek-Coder-V2-Lite-Instruct,58,26.66%,0.74,17.47,18.75%
CEOI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,1.56%,0.07,2.01,0.00%
CEOI-2024,DeepSeek-Coder-V2-Lite-Instruct,0,6.53%,0.51,7.54,0.00%
COCI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,0.00%,0.00,0.00,0.00%
COCI-2024,DeepSeek-Coder-V2-Lite-Instruct,305,19.93%,0.75,28.68,8.00%
COCI-2025,DeepSeek-Coder-V2-Lite-Instruct,180,14.39%,0.60,11.71,0.00%
EGOI-2023,DeepSeek-Coder-V2-Lite-Instruct,39,13.00%,0.47,1.47,0.00%
EGOI-2024,DeepSeek-Coder-V2-Lite-Instruct,16,8.87%,0.02,0.45,0.00%
EJOI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,0.77%,0.40,366.94,0.00%
EJOI-2024,DeepSeek-Coder-V2-Lite-Instruct,7,11.90%,1.35,4.05,0.00%
IATI-2024,DeepSeek-Coder-V2-Lite-Instruct,0,0.69%,0.24,1.73,0.00%
IOI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,3.04%,0.32,7.68,0.00%
IOI-2024,DeepSeek-Coder-V2-Lite-Instruct,22,12.16%,0.33,749.81,0.00%
JOI-2023,DeepSeek-Coder-V2-Lite-Instruct,5,11.74%,0.40,7.41,0.00%
JOI-2024,DeepSeek-Coder-V2-Lite-Instruct,24,4.47%,0.29,4.94,0.00%
NOINordic-2023,DeepSeek-Coder-V2-Lite-Instruct,37,14.71%,1.90,0.95,0.00%
NOINordic-2024,DeepSeek-Coder-V2-Lite-Instruct,0,0.65%,0.15,3.53,0.00%
NOINordic-2025,DeepSeek-Coder-V2-Lite-Instruct,0,1.37%,1.88,1.46,0.00%
OOI-2023,DeepSeek-Coder-V2-Lite-Instruct,142,14.76%,0.48,1.51,0.00%
OOI-2024,DeepSeek-Coder-V2-Lite-Instruct,263,23.28%,1.25,17.37,5.88%
RMI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,1.33%,0.30,7.82,0.00%
RMI-2024,DeepSeek-Coder-V2-Lite-Instruct,11,11.69%,0.41,1.34,0.00%
USACO-2023,DeepSeek-Coder-V2-Lite-Instruct,434,3.66%,0.48,9.18,0.00%
USACO-2024,DeepSeek-Coder-V2-Lite-Instruct,719,6.70%,0.82,45.62,0.00%
USACO-2025,DeepSeek-Coder-V2-Lite-Instruct,302,4.44%,0.55,9.73,0.00%
