problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.060,0.00390625,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,15.71%,37.31%,1.260,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.050,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,54.29%,66.67%,1.210,2.58984375,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,7,7.78%,33.33%,2.410,16.51171875,,7,0,0,0,0,0
crtez,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,12.50%,27.72%,4.240,230.26171875,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,RUNTIME_ERROR,0,0.00%,64.00%,0.750,5.1484375,,0,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,1.81640625,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,0.00%,7.69%,0.060,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,8.57%,12.24%,0.060,0.00390625,,6,0,0,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,27.78%,37.21%,2.450,4.39453125,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,0.00%,3.28%,0.060,1.5546875,,0,0,0,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.180,12.125,,20,25,25,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,0,0.00%,25.00%,3.620,3.5625,,0,0,0,0,0,0
uciteljica,TIME_LIMIT_EXCEEDED,0,0.00%,8.20%,5.970,1.515625,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,1.61%,0.140,18.24609375,,0,0,0,0,0,0
TOTAL,,222,,21.83%,,,8.00%,,,,,,
