problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.100,6.7109375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.080,3.62109375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.140,38.6796875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,1.000,123.59765625,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.050,2.4921875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.080,2.0703125,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,23.64%,22.45%,0.100,3.6171875,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,4.39453125,,7,27,36,0,0
lepeze,RUNTIME_ERROR,16,14.55%,21.15%,0.180,46.66796875,,0,16,0,0,0
putovanje,ACCEPTED,110,100.00%,100.00%,1.810,5.58984375,,10,20,35,45,0
roboti,TIME_LIMIT_EXCEEDED,23,20.91%,52.27%,2.420,17.3515625,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.070,2.83984375,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.00%,0.090,6.96875,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.070,35.84765625,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.140,22.6328125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.060,2.06640625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.220,99.00390625,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.050,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,27.27%,56.78%,3.660,8.14453125,,13,17,0,0,0
TOTAL,,1395,,70.67%,,,64.00%,,,,,
