Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,five,five_rel,game,game_rel,lexgcd,lexgcd_rel,ones,ones_rel,travel,travel_rel
gpt-5,211.00,42.20%,35.90%,20.00%,0.550,25.08,5,100.00,100.00%,0.00,0.00%,38.00,38.00%,53.00,53.00%,20.00,20.00%
gpt-oss-120b-high,195.00,39.00%,36.66%,0.00%,0.578,111.86,5,81.00,81.00%,0.00,0.00%,69.00,69.00%,25.00,25.00%,20.00,20.00%
gemini-2.5-pro,168.00,33.60%,30.35%,0.00%,1.190,41.51,5,62.00,62.00%,8.00,8.00%,10.00,10.00%,68.00,68.00%,20.00,20.00%
grok-4-fast-reasoning,152.00,30.40%,33.05%,0.00%,0.992,46.04,5,5.00,5.00%,26.00,26.00%,29.00,29.00%,57.00,57.00%,35.00,35.00%
gpt-oss-20b-medium,113.00,22.60%,23.16%,0.00%,0.814,14.11,5,62.00,62.00%,0.00,0.00%,6.00,6.00%,25.00,25.00%,20.00,20.00%
claude-sonnet-4.5,110.00,22.00%,16.01%,0.00%,1.156,13.60,5,19.00,19.00%,8.00,8.00%,6.00,6.00%,57.00,57.00%,20.00,20.00%
gpt-oss-120b_sp4,107.00,21.40%,22.36%,0.00%,0.440,12.63,5,62.00,62.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
gpt-oss-120b_sp2,107.00,21.40%,24.52%,0.00%,0.462,27.37,5,62.00,62.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
gpt-oss-120b_sp1,107.00,21.40%,22.36%,0.00%,0.476,12.00,5,62.00,62.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
gpt-oss-120b_sp3,95.00,19.00%,19.89%,0.00%,0.274,17.94,5,62.00,62.00%,8.00,8.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
gpt-oss-20b-high,93.00,18.60%,18.78%,0.00%,0.386,38.53,5,62.00,62.00%,0.00,0.00%,6.00,6.00%,25.00,25.00%,0.00,0.00%
seed-oss_-1,92.00,18.40%,17.71%,0.00%,0.492,29.16,5,43.00,43.00%,0.00,0.00%,0.00,0.00%,29.00,29.00%,20.00,20.00%
gpt-o3-mini-high,88.00,17.60%,19.58%,0.00%,0.824,49.64,5,43.00,43.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
gpt-oss-120b-medium,87.00,17.40%,20.03%,0.00%,0.414,39.35,5,62.00,62.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
gpt-oss-120b-low,63.00,12.60%,13.61%,0.00%,0.666,34.07,5,43.00,43.00%,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%
