problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,WRONG_ANSWER,0,0.00%,93.88%,0.010,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.070,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.010,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.670,83.28125,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.150,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.290,12.8984375,,7,11,17,29,26,0
crtez,MEMORY_LIMIT_EXCEEDED,75,62.50%,72.34%,0.550,613.70703125,,20,55,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,1.730,131.49609375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.030,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.060,8.7265625,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,37,30.83%,16.13%,0.130,22.1171875,,0,0,37,0,0,0
tura,RUNTIME_ERROR,0,0.00%,16.55%,0.020,0.00390625,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.050,1.55859375,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,38,42.22%,53.49%,2.420,8.51953125,,25,13,0,0,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.020,1.55859375,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.00%,0.060,3.1015625,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.010,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.080,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.220,18.828125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.020,0.00390625,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.410,56.21875,,13,18,34,15,40,0
TOTAL,,1373,,71.39%,,,60.00%,,,,,,
