problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,62,62.00%,75.00%,0.850,20.4296875,,5,19,19,19,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,6,6.00%,11.38%,1.810,14.40625,,6,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,25.00%,0.00%,0.160,1.953125,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.250,33.78515625,,10,10,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,11,11.00%,54.29%,0.420,0.00390625,,0,11,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.190,34.06640625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.150,7.84375,,0,5,5,10,20,10,20,30,0,0
twins,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,100.00%,0.320,13.94921875,,0,10,7,29,27,7,14,6,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.110,2.0703125,,0,0,0,0,0,0,0,0,0,0
TOTAL,,424,,42.73%,,,27.27%,,,,,,,,,,
