Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2024-ho-t1_Room_Temperature,2024-ho-t1_Room_Temperature_rel,2024-ho-t2_Construction_Project_2,2024-ho-t2_Construction_Project_2_rel,2024-ho-t3_Marathon_Race_2,2024-ho-t3_Marathon_Race_2_rel,2024-ho-t4_Gift_Exchange,2024-ho-t4_Gift_Exchange_rel,2024-ho-t5_Road_Service_2,2024-ho-t5_Road_Service_2_rel
gemini-2.5-pro,297.00,59.40%,78.70%,40.00%,1.020,275.29,5,100.00,100.00%,100.00,100.00%,81.00,81.00%,0.00,0.00%,16.00,16.00%
gpt-5,273.00,54.60%,79.97%,40.00%,1.410,30.78,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,50.00,50.00%,16.00,16.00%
gpt-oss-20b-high,257.00,51.40%,67.62%,40.00%,0.728,6.77,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,50.00,50.00%,0.00,0.00%
gemini-2.5-flash,237.00,47.40%,56.00%,20.00%,1.022,92.97,5,85.00,85.00%,100.00,100.00%,52.00,52.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,223.00,,71.16%,40.00%,0.790,39.75,5,100.00,,100.00,,7.00,,0.00,,16.00,
gpt-oss-120b_sp4,223.00,44.60%,64.11%,40.00%,0.826,33.58,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,16.00,16.00%
gpt-o3-mini-high,223.00,44.60%,64.11%,40.00%,0.828,258.94,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,16.00,16.00%
gpt-oss-120b_sp2,207.00,41.40%,51.76%,40.00%,0.058,6.55,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp3,207.00,41.40%,51.76%,40.00%,0.068,5.75,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,207.00,41.40%,51.76%,40.00%,0.110,6.55,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,207.00,41.40%,51.76%,40.00%,0.128,13.48,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,207.00,41.40%,51.76%,40.00%,0.146,6.06,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,207.00,41.40%,58.99%,40.00%,0.148,16.49,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,207.00,41.40%,53.48%,40.00%,0.168,11.98,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-high,207.00,41.40%,60.71%,40.00%,0.178,10.63,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-medium,207.00,41.40%,51.76%,40.00%,0.198,18.72,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp1,207.00,41.40%,53.86%,40.00%,0.216,29.64,5,100.00,100.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
grok-4-fast-reasoning,188.00,47.00%,77.31%,25.00%,1.750,101.96,4,N/A,N/A,100.00,100.00%,7.00,7.00%,50.00,50.00%,31.00,31.00%
deepseek-chat,150.00,30.00%,40.49%,20.00%,0.146,18.05,5,50.00,50.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,115.00,23.00%,38.06%,20.00%,0.098,6.65,5,100.00,100.00%,8.00,8.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,107.00,,32.55%,20.00%,0.058,14.81,5,0.00,,100.00,,7.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,107.00,21.40%,31.76%,20.00%,0.060,1.05,5,100.00,100.00%,0.00,0.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
deepseek-reasoner,107.00,21.40%,32.55%,20.00%,0.084,7.96,5,0.00,0.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,107.00,21.40%,32.55%,20.00%,0.180,45.02,5,0.00,0.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,100.00,,20.00%,20.00%,0.044,5.02,5,0.00,,100.00,,0.00,,0.00,,0.00,
gpt-oss-20b-low,100.00,20.00%,25.70%,20.00%,0.108,8.77,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
claude-sonnet-4.5,86.00,17.20%,45.95%,0.00%,0.792,226.16,5,0.00,0.00%,53.00,53.00%,24.00,24.00%,9.00,9.00%,0.00,0.00%
gpt-4.1,67.00,13.40%,46.98%,0.00%,1.548,80.89,5,0.00,0.00%,53.00,53.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,53.00,10.60%,18.44%,0.00%,0.530,5.94,5,0.00,0.00%,53.00,53.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,24.00,4.80%,7.52%,0.00%,0.486,0.36,5,0.00,0.00%,24.00,24.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,15.00,3.00%,18.85%,0.00%,0.042,3.21,5,0.00,0.00%,8.00,8.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,15.00,3.00%,18.85%,0.00%,0.044,3.07,5,0.00,0.00%,8.00,8.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,15.00,3.00%,18.43%,0.00%,0.078,6.42,5,0.00,0.00%,8.00,8.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B,15.00,3.00%,21.73%,0.00%,0.106,16.47,5,0.00,0.00%,8.00,8.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,12.00,2.40%,16.71%,0.00%,1.126,3.83,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,4.00,4.00%,0.00,0.00%
Codestral-22B-v0.1,8.00,1.60%,0.42%,0.00%,0.000,0.00,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,8.00,1.60%,3.78%,0.00%,0.000,0.00,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,8.00,,4.79%,0.00%,0.010,0.00,5,0.00,,8.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,8.00,1.60%,6.11%,0.00%,0.034,0.31,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,8.00,1.60%,3.78%,0.00%,0.034,1.34,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,8.00,1.60%,1.20%,0.00%,0.034,0.00,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,8.00,1.60%,4.59%,0.00%,0.034,1.50,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,8.00,1.60%,26.00%,0.00%,0.210,32.49,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,8.00,1.60%,6.14%,0.00%,0.504,0.36,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,8.00,1.60%,6.72%,0.00%,0.520,9.85,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,8.00,1.60%,6.93%,0.00%,0.530,0.39,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_4096,7.00,,12.55%,0.00%,0.010,0.00,5,0.00,,0.00,,7.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,4.00,0.80%,12.45%,0.00%,0.596,1.31,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,4.00,4.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
OlympicCoder-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,0.00,,0.78%,0.00%,0.010,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
