Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,boi,boi_rel,dev,dev_rel,gcd,gcd_rel,tou,tou_rel,tow,tow_rel,exp,exp_rel
gpt-5,209.00,34.83%,49.26%,16.67%,1.120,27.29,6,33.00,33.00%,0.00,0.00%,17.00,17.00%,100.00,100.00%,22.00,22.00%,37.00,37.00%
grok-4-fast-reasoning,200.00,33.33%,44.00%,16.67%,0.848,56.65,6,12.00,12.00%,0.00,0.00%,100.00,100.00%,51.00,51.00%,0.00,0.00%,37.00,37.00%
claude-sonnet-4.5,195.00,32.50%,51.69%,16.67%,1.432,307.79,6,32.00,32.00%,4.00,4.00%,100.00,100.00%,32.00,32.00%,13.00,13.00%,14.00,14.00%
gpt-o3-mini-high,151.00,25.17%,32.22%,16.67%,1.028,26.82,6,0.00,0.00%,0.00,0.00%,100.00,100.00%,51.00,51.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-pro,121.00,20.17%,35.01%,0.00%,1.432,64.10,6,11.00,11.00%,0.00,0.00%,0.00,0.00%,51.00,51.00%,22.00,22.00%,37.00,37.00%
gpt-oss-120b-high,100.00,16.67%,19.61%,16.67%,0.257,37.33,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
deepseek-reasoner,100.00,16.67%,24.36%,16.67%,0.570,40.34,6,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-high,93.00,18.60%,28.88%,0.00%,0.638,19.25,5,0.00,0.00%,N/A,N/A,17.00,17.00%,76.00,76.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,87.00,14.50%,26.77%,0.00%,0.533,141.21,6,12.00,12.00%,0.00,0.00%,0.00,0.00%,32.00,32.00%,6.00,6.00%,37.00,37.00%
gpt-oss-20b-medium,83.00,13.83%,23.18%,0.00%,0.613,14.23,6,32.00,32.00%,0.00,0.00%,0.00,0.00%,51.00,51.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp1,73.00,12.17%,20.14%,0.00%,0.857,17.26,6,22.00,22.00%,0.00,0.00%,0.00,0.00%,51.00,51.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,72.00,12.00%,22.19%,0.00%,0.653,15.60,6,21.00,21.00%,0.00,0.00%,0.00,0.00%,51.00,51.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,51.00,8.50%,16.37%,0.00%,0.242,5.34,6,0.00,0.00%,0.00,0.00%,51.00,51.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp4,51.00,8.50%,14.00%,0.00%,0.442,23.47,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,51.00,51.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,51.00,8.50%,14.00%,0.00%,0.567,28.33,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,51.00,51.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,47.00,7.83%,21.53%,0.00%,1.028,42.93,6,0.00,0.00%,0.00,0.00%,17.00,17.00%,9.00,9.00%,7.00,7.00%,14.00,14.00%
gpt-oss-120b-low,32.00,5.33%,11.42%,0.00%,0.243,248.43,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,32.00,32.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp3,32.00,5.33%,12.40%,0.00%,0.847,81.79,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,32.00,32.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,21.00,3.50%,12.79%,0.00%,0.662,20.79,6,12.00,12.00%,0.00,0.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,0.00,0.00%
