problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,10.81%,0.350,7.49609375,,0,0,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,10,10.00%,19.83%,1.840,49.70703125,,6,0,0,4,0,0,0,0,0,0
ones,WRONG_ANSWER,29,29.00%,0.00%,0.180,1.953125,,2.5802799999999997,2.5615300000000003,2.6297900000000003,2.67411,2.72949,2.81882,2.93263,3.0942999999999996,3.40576,3.75162
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.230,85.53125,,10,10,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,29,29.00%,78.79%,0.430,32.2265625,,0,11,18,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,40,40.00%,91.83%,0.400,2.24609375,,0,5,10,10,15,0,0,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.180,11.60546875,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,50,50.00%,42.35%,0.100,3.26953125,,40,10,0,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,100.00%,0.380,15.828125,,0,10,7,29,27,7,14,6,0,0
xy,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,378,,43.00%,,,18.18%,,,,,,,,,,
