problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,WRONG_ANSWER,0,93.88%,0.030,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.110,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.030,1.5546875,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,14.71%,0.280,81.5390625,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,RUNTIME_ERROR,0,0.00%,0.030,1.546875,,0,0,0,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.150,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,42.55%,2.210,2.45703125,,20,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,75,74.26%,4.210,254.1171875,,15,15,45,0,0,0
sah,ACCEPTED,50,100.00%,0.050,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.080,5.171875,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,12.90%,0.350,37.92578125,,0,27,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.040,5.33984375,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,RUNTIME_ERROR,29,44.90%,0.050,0.00390625,,6,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,74.42%,2.230,9.04296875,,25,13,9,0,0,0
blistavost,RUNTIME_ERROR,55,52.46%,0.040,1.91015625,,0,0,55,0,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.050,4.390625,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.060,2.7890625,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.290,16.171875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,15,33.87%,0.000,0,,0,0,0,15,0,0
TOTAL,,871,55.12%,,,36.00%,,,,,,
