problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,seed-oss_4096,RUNTIME_ERROR,0,9.21%,0.210,25.63671875
2024-sp_Ski_2,seed-oss_4096,RUNTIME_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,seed-oss_4096,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,seed-oss_4096,RUNTIME_ERROR,3,8.07%,0.060,4.3828125
2024-sp_Tricolor_Lights,seed-oss_4096,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,seed-oss_4096,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Card_Collection,seed-oss_4096,RUNTIME_ERROR,0,6.06%,0.000,0
2024-sp_JOI_Tour,seed-oss_4096,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,seed-oss_4096,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,seed-oss_4096,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.050,1.703125
2024-sp_Island_Hopping,seed-oss_4096,RUNTIME_ERROR,2,4.31%,0.050,1.54296875
2024-sp_Table_Tennis,seed-oss_4096,RUNTIME_ERROR,0,10.26%,0.090,0.00390625
