problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,8.93%,0.100,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,0.220,4.50390625,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.110,2.07421875,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.440,1.55859375,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,16.82%,0.420,14.92578125,,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,47.45%,4.420,4.68359375,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,35,25.89%,0.280,27.6640625,,0.0,0,0,0,0,0,16.0,19.0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.100,1.5546875,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,0,4.10%,7.710,5.3984375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,0,13.68%,2.220,6.7109375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,72,88.42%,1.660,41.96875,,0.0,17.0,0,0,0,21.0,34.0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,53.36%,3.310,43.58203125,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,89.37%,2.210,27.56640625,,0.0,8.0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.580,2.828125,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,60.19%,2.210,13.9296875,,0.0,8.0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,42,85.96%,0.150,7.9453125,,0.0,17.0,0,0,0,13.0,12.0,0,0,0,0,0,0
TOTAL,,640,53.37%,,,23.53%,,,,,,,,,,,,,
