Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,benzinska,benzinska_rel,cipele,cipele_rel,sah,sah_rel,tura,tura_rel,xor,xor_rel
gpt-oss-120b-high,360.00,,80.00%,80.00%,0.060,8.10,5,70.00,,120.00,,50.00,,120.00,,0.00,
gemini-2.5-pro,360.00,,80.00%,80.00%,0.138,6.35,5,70.00,,120.00,,50.00,,120.00,,0.00,
gpt-5,349.00,,74.68%,60.00%,0.086,7.15,5,70.00,,120.00,,50.00,,109.00,,0.00,
seed-oss_16384,240.00,,62.59%,60.00%,0.174,8.02,5,70.00,,120.00,,50.00,,0.00,,0.00,
gpt-oss-20b-high,240.00,,60.14%,60.00%,0.200,8.23,5,70.00,,120.00,,50.00,,0.00,,0.00,
gpt-oss-120b-medium,203.00,53.83%,62.39%,40.00%,0.510,6.60,5,70.00,100.00%,83.00,69.17%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-o3-mini-high,184.00,,50.99%,40.00%,0.170,6.74,5,70.00,,64.00,,50.00,,0.00,,0.00,
seed-oss_-1,184.00,,48.40%,40.00%,0.174,7.84,5,70.00,,64.00,,50.00,,0.00,,0.00,
Qwen3-32B,184.00,,48.40%,40.00%,0.192,10.51,5,70.00,,64.00,,50.00,,0.00,,0.00,
gemini-2.5-flash,164.00,,52.71%,40.00%,0.488,10.90,5,70.00,,44.00,,50.00,,0.00,,0.00,
seed-oss_8192,159.00,,52.91%,40.00%,0.626,129.14,5,70.00,,39.00,,50.00,,0.00,,0.00,
gpt-oss-20b-medium,157.00,,43.37%,40.00%,0.048,6.75,5,70.00,,37.00,,50.00,,0.00,,0.00,
Qwen3-8B,147.00,,42.58%,40.00%,0.034,2.12,5,70.00,,27.00,,50.00,,0.00,,0.00,
Qwen3-14B,147.00,,42.58%,40.00%,0.074,3.82,5,70.00,,27.00,,50.00,,0.00,,0.00,
gpt-4.1,147.00,,42.72%,40.00%,0.086,4.77,5,70.00,,27.00,,50.00,,0.00,,0.00,
QwQ-32B,147.00,,42.58%,40.00%,0.096,5.74,5,70.00,,27.00,,50.00,,0.00,,0.00,
