problem_id,model,solution_file,status,score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_1.cpp,RUNTIME_ERROR,4,16.00%,0.230,16.30859375
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_2.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.34375
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_4.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.390625
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_6.cpp,RUNTIME_ERROR,0,0.00%,0.090,232.78515625
APIO-2023-contest-abc,seed-oss_8192,abc_seed-oss_7.cpp,RUNTIME_ERROR,0,0.00%,0.170,13.56640625
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_0.cpp,RUNTIME_ERROR,20,23.17%,0.390,35.0625
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_1.cpp,RUNTIME_ERROR,49,62.20%,1.090,59.30078125
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_2.cpp,RUNTIME_ERROR,20,23.17%,0.400,21.91796875
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_3.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.850,2435.5546875
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_4.cpp,RUNTIME_ERROR,20,23.17%,0.350,21.91796875
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_5.cpp,RUNTIME_ERROR,15,19.51%,2.090,9.28125
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_6.cpp,RUNTIME_ERROR,20,23.17%,0.350,21.91796875
APIO-2023-contest-cyberland,seed-oss_8192,cyberland_seed-oss_7.cpp,RUNTIME_ERROR,20,23.17%,0.390,22.69140625
