competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-20b-low,22571,33.20%,0.41,15.88,21.25%
APIO-2023,gpt-oss-20b-low,24,18.67%,0.27,22.02,0.00%
APIO-2024,gpt-oss-20b-low,0,0.00%,0.00,0.00,0.00%
BOI-2023,gpt-oss-20b-low,28,28.37%,0.25,1.25,0.00%
BOI-2024,gpt-oss-20b-low,51,26.33%,0.45,15.23,0.00%
BOI-2025,gpt-oss-20b-low,0,3.45%,0.05,0.61,0.00%
CCO-2023,gpt-oss-20b-low,124,56.32%,0.17,5.47,46.67%
CCO-2024,gpt-oss-20b-low,157,58.02%,0.19,9.97,56.25%
CEOI-2023,gpt-oss-20b-low,0,0.81%,0.03,3.74,0.00%
CEOI-2024,gpt-oss-20b-low,46,31.51%,0.32,34.70,0.00%
COCI-2023,gpt-oss-20b-low,1110,59.07%,0.09,16.31,56.00%
COCI-2024,gpt-oss-20b-low,853,46.81%,0.28,8.77,40.00%
COCI-2025,gpt-oss-20b-low,957,54.35%,0.55,63.97,44.00%
EGOI-2023,gpt-oss-20b-low,200,25.18%,0.06,4.93,25.00%
EGOI-2024,gpt-oss-20b-low,272,43.14%,0.34,3.06,25.00%
EJOI-2023,gpt-oss-20b-low,60,12.33%,0.31,12.84,0.00%
EJOI-2024,gpt-oss-20b-low,208,38.46%,0.27,42.87,33.33%
IATI-2024,gpt-oss-20b-low,345,35.57%,0.23,7.99,27.27%
IOI-2023,gpt-oss-20b-low,32,9.90%,0.04,10.10,0.00%
IOI-2024,gpt-oss-20b-low,97,32.21%,1.06,11.37,0.00%
JOI-2023,gpt-oss-20b-low,158,24.83%,0.72,6.97,5.56%
JOI-2024,gpt-oss-20b-low,128,13.55%,0.32,6.32,5.00%
JOI-2025,gpt-oss-20b-low,100,20.68%,0.18,8.15,20.00%
NOINordic-2023,gpt-oss-20b-low,200,80.03%,0.20,7.56,66.67%
NOINordic-2024,gpt-oss-20b-low,100,35.85%,0.18,4.05,33.33%
NOINordic-2025,gpt-oss-20b-low,100,40.15%,3.76,7.51,33.33%
OOI-2023,gpt-oss-20b-low,600,45.25%,0.36,34.35,23.53%
OOI-2024,gpt-oss-20b-low,707,47.35%,0.40,23.95,35.29%
RMI-2023,gpt-oss-20b-low,64,21.78%,0.25,36.34,0.00%
RMI-2024,gpt-oss-20b-low,118,38.73%,0.57,58.74,16.67%
USACO-2023,gpt-oss-20b-low,7249,47.34%,0.46,14.49,39.58%
USACO-2024,gpt-oss-20b-low,4523,32.35%,0.42,13.75,17.02%
USACO-2025,gpt-oss-20b-low,3960,34.05%,0.44,10.64,30.56%
