competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,2252,1225,1260,320,831,6098,363,4413
APIO-2023,0,0,1,1,0,9,5,8
APIO-2024,0,0,0,0,8,6,0,10
BOI-2023,0,0,5,0,1,31,0,11
BOI-2024,0,0,5,0,2,17,0,24
BOI-2025,0,0,5,0,1,20,1,21
CCO-2023,0,0,0,0,0,0,0,0
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,2,0,17,10,0,19
CEOI-2024,0,0,5,0,3,28,0,12
COCI-2023,53,0,4,3,7,99,8,26
COCI-2024,65,3,9,2,5,70,0,46
COCI-2025,57,0,11,2,7,80,15,28
EGOI-2023,8,0,6,0,0,37,8,5
EGOI-2024,3,0,3,0,3,29,6,20
EJOI-2023,0,0,6,0,7,14,0,21
EJOI-2024,6,0,8,0,1,18,0,15
IATI-2024,11,8,5,0,1,42,5,16
IOI-2023,0,0,0,0,3,27,0,18
IOI-2024,0,0,2,0,5,25,0,16
JOI-2023,1,0,10,2,21,47,2,77
JOI-2024,1,0,11,1,24,56,2,65
JOI-2025,3,0,0,1,0,20,0,16
NOINordic-2023,12,0,0,0,1,4,3,4
NOINordic-2024,4,0,0,0,0,18,0,2
NOINordic-2025,1,0,9,2,3,3,0,6
OOI-2023,17,0,9,5,0,66,2,37
OOI-2024,12,0,17,2,0,52,7,46
RMI-2023,0,0,4,3,1,20,1,19
RMI-2024,1,0,9,0,0,17,0,21
USACO-2023,70,78,33,17,11,102,0,73
USACO-2024,35,96,33,11,19,97,0,93
USACO-2025,33,60,31,11,4,92,0,57
