Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,928.00,77.33%,79.15%,75.00%,0.369,37.47,12
grok-4-fast-reasoning,836.00,69.67%,74.23%,58.33%,0.468,62.42,12
gpt-oss-120b-high,819.00,68.25%,71.56%,66.67%,0.313,43.91,12
gemini-2.5-pro,629.00,52.42%,65.08%,33.33%,0.689,53.89,12
gpt-oss-20b-high,617.00,61.70%,62.23%,50.00%,0.386,30.00,10
gpt-o3-mini-high,609.00,50.75%,56.06%,33.33%,0.597,28.81,12
gpt-oss-120b-medium,592.00,49.33%,53.37%,41.67%,0.421,40.42,12
gpt-oss-120b_sp2,589.00,49.08%,52.27%,41.67%,0.347,29.78,12
gpt-oss-120b_sp4,572.00,47.67%,53.75%,33.33%,0.280,38.10,12
gpt-oss-120b_sp1,516.00,43.00%,48.12%,33.33%,0.244,30.02,12
gemini-2.5-flash,515.00,42.92%,48.12%,25.00%,0.753,63.01,12
gpt-oss-120b_sp3,495.00,41.25%,47.91%,33.33%,0.175,24.24,12
gpt-oss-20b-medium,479.00,43.55%,45.97%,36.36%,0.323,31.16,11
seed-oss_-1,424.00,35.33%,38.94%,25.00%,0.385,228.15,12
gpt-oss-120b-low,414.00,34.50%,37.38%,25.00%,0.401,23.19,12
claude-sonnet-4.5,353.00,29.42%,41.41%,8.33%,1.250,249.05,12
deepseek-reasoner,278.00,23.17%,32.97%,8.33%,0.616,236.39,12
gpt-oss-20b-low,268.00,22.33%,25.39%,16.67%,0.291,27.86,12
Qwen3-32B,259.00,,33.18%,8.33%,1.024,208.53,12
seed-oss_8192,256.00,,21.78%,16.67%,0.163,14.20,12
Qwen3-14B,239.00,,26.46%,8.33%,0.734,33.43,12
Qwen3-30B,226.00,,27.88%,8.33%,0.978,206.62,12
Qwen3-4B,214.00,17.83%,22.86%,8.33%,0.739,220.01,12
OpenCodeReasoning-Nemotron-32B-IOI,210.00,17.50%,23.49%,8.33%,0.749,44.28,12
gpt-4.1,203.00,16.92%,24.94%,8.33%,0.832,70.09,12
deepseek-chat,201.00,16.75%,24.53%,8.33%,0.738,61.24,12
Qwen3-8B,170.00,14.17%,20.93%,8.33%,1.013,34.61,12
Qwen3-32B-Non-Thinking,148.00,13.45%,18.14%,9.09%,0.719,18.70,11
DeepSeek-R1-Distill-Llama-70B,139.00,11.58%,18.80%,8.33%,0.576,10.55,12
OlympicCoder-7B,133.00,11.08%,18.86%,8.33%,0.586,15.36,12
Llama-3.3-70B-Instruct,133.00,,18.43%,0.00%,1.120,91.40,12
seed-oss_4096,119.00,,12.73%,8.33%,0.047,5.95,12
seed-oss_2048,111.00,,12.33%,8.33%,0.048,7.63,12
seed-oss_1024,111.00,,12.05%,8.33%,0.159,22.71,12
Qwen2.5-72B,83.00,,13.13%,0.00%,0.689,12.56,12
Qwen2.5-Coder-14B-Instruct,73.00,6.08%,11.27%,0.00%,0.925,10.06,12
Qwen3-14B-Non-Thinking,71.00,5.92%,9.94%,0.00%,0.734,11.63,12
Mistral-Large-Instruct-2411,65.00,5.42%,10.08%,0.00%,0.564,21.50,12
DeepSeek-R1-Distill-Llama-8B,55.00,4.58%,5.43%,0.00%,0.302,0.22,12
Qwen3-8B-Non-Thinking,55.00,4.58%,7.05%,0.00%,0.666,1.54,12
seed-oss_512,38.00,,5.74%,0.00%,0.083,24.24,12
Codestral-22B-v0.1,38.00,3.17%,4.79%,0.00%,0.329,8.07,12
QwQ-32B,35.00,35.00%,50.00%,0.00%,0.160,9.88,1
Mistral-Small-3.1-24B-2503,29.00,2.42%,7.61%,0.00%,0.528,9.22,12
Llama-4-Scout,27.00,2.25%,6.10%,0.00%,0.563,3.19,12
Qwen2.5-Coder-7B-Instruct,24.00,2.00%,6.16%,0.00%,0.632,7.01,12
Qwen3-4B-Non-Thinking,24.00,2.00%,7.03%,0.00%,0.656,1.40,12
DeepSeek-Coder-V2-Lite-Instruct,24.00,2.00%,7.11%,0.00%,0.872,202.33,12
seed-oss_0,11.00,,4.34%,0.00%,0.068,8.93,12
Qwen3-30B-Non-Thinking,5.00,0.42%,5.46%,0.00%,0.713,6.40,12
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,1
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,11
Llama-3.1-8B-Instruct,0.00,0.00%,1.86%,0.00%,0.034,0.88,12
