Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,cfduels,cfduels_rel,cheese,cheese_rel,hora,hora_rel,manypairs,manypairs_rel,oldorhei,oldorhei_rel,sweets,sweets_rel
gpt-5,505.00,,85.08%,83.33%,0.467,60.61,6,100.00,,100.00,,5.00,,100.00,,100.00,,100.00,
gemini-2.5-pro,426.00,,84.98%,50.00%,0.667,29.40,6,100.00,,26.00,,37.00,,63.00,,100.00,,100.00,
gpt-oss-120b-high,419.00,,75.64%,66.67%,0.328,43.28,6,100.00,,19.00,,0.00,,100.00,,100.00,,100.00,
gpt-o3-mini-high,382.00,,70.55%,50.00%,0.613,36.80,6,100.00,,19.00,,0.00,,63.00,,100.00,,100.00,
gpt-oss-20b-high,372.00,,63.25%,50.00%,0.295,45.95,6,100.00,,72.00,,0.00,,0.00,,100.00,,100.00,
gpt-oss-120b-medium,372.00,62.00%,65.15%,50.00%,0.352,46.01,6,100.00,100.00%,72.00,72.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
gemini-2.5-flash,353.00,,65.65%,50.00%,0.660,38.27,6,100.00,,11.00,,0.00,,42.00,,100.00,,100.00,
gpt-oss-20b-medium,319.00,,57.69%,50.00%,0.215,36.59,6,100.00,,19.00,,0.00,,0.00,,100.00,,100.00,
gpt-oss-120b-low,319.00,,58.17%,50.00%,0.233,28.99,6,100.00,,19.00,,0.00,,0.00,,100.00,,100.00,
seed-oss_-1,311.00,,55.56%,50.00%,0.217,37.17,6,100.00,,11.00,,0.00,,0.00,,100.00,,100.00,
seed-oss_8192,211.00,,37.18%,33.33%,0.105,16.46,6,100.00,,11.00,,0.00,,0.00,,100.00,,0.00,
gpt-oss-20b-low,208.00,,38.46%,33.33%,0.220,43.09,6,0.00,,8.00,,0.00,,0.00,,100.00,,100.00,
gpt-4.1,189.00,,40.17%,16.67%,0.782,78.63,6,46.00,,11.00,,5.00,,0.00,,100.00,,27.00,
Qwen3-32B,172.00,,43.79%,16.67%,1.370,37.38,6,14.00,,19.00,,0.00,,12.00,,100.00,,27.00,
deepseek-reasoner,171.00,,43.19%,16.67%,0.693,39.15,6,12.00,,26.00,,0.00,,0.00,,100.00,,33.00,
Qwen3-14B,160.00,,38.04%,16.67%,0.702,31.15,6,14.00,,19.00,,0.00,,0.00,,100.00,,27.00,
deepseek-chat,158.00,,37.77%,16.67%,0.675,63.52,6,12.00,,19.00,,0.00,,0.00,,100.00,,27.00,
Qwen3-30B,158.00,,39.56%,16.67%,1.165,30.52,6,0.00,,19.00,,0.00,,12.00,,100.00,,27.00,
Qwen3-4B,146.00,,32.25%,16.67%,0.787,16.93,6,0.00,,19.00,,0.00,,0.00,,100.00,,27.00,
DeepSeek-R1-Distill-Qwen-32B,130.00,,28.87%,16.67%,1.245,25.12,6,0.00,,11.00,,0.00,,0.00,,100.00,,19.00,
DeepSeek-R1-Distill-Llama-70B,123.00,,31.38%,16.67%,0.525,11.25,6,12.00,,11.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_4096,119.00,,25.46%,16.67%,0.093,11.90,6,0.00,,19.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_2048,111.00,,24.66%,16.67%,0.097,15.27,6,0.00,,11.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_1024,111.00,,22.97%,16.67%,0.097,22.53,6,0.00,,11.00,,0.00,,0.00,,100.00,,0.00,
QwQ-32B,111.00,,25.67%,16.67%,0.110,14.88,6,0.00,,11.00,,0.00,,0.00,,100.00,,0.00,
Qwen3-8B,111.00,,27.83%,16.67%,1.178,22.25,6,0.00,,11.00,,0.00,,0.00,,100.00,,0.00,
Qwen3-32B-Non-Thinking,108.00,,22.18%,16.67%,0.995,31.07,6,0.00,,0.00,,0.00,,0.00,,100.00,,8.00,
Llama-3.3-70B-Instruct,82.00,,20.53%,0.00%,1.607,22.91,6,0.00,,0.00,,0.00,,0.00,,55.00,,27.00,
Qwen2.5-72B,78.00,,19.92%,0.00%,1.125,7.46,6,12.00,,11.00,,0.00,,0.00,,55.00,,0.00,
Qwen2.5-Coder-14B-Instruct,68.00,,18.67%,0.00%,1.338,13.76,6,0.00,,0.00,,5.00,,0.00,,55.00,,8.00,
Qwen3-14B-Non-Thinking,66.00,,17.13%,0.00%,1.007,3.18,6,0.00,,11.00,,0.00,,0.00,,55.00,,0.00,
seed-oss_512,38.00,,9.89%,0.00%,0.138,34.43,6,0.00,,0.00,,0.00,,0.00,,38.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,35.00,,9.99%,0.00%,0.760,50.36,6,0.00,,8.00,,0.00,,0.00,,0.00,,27.00,
Mistral-Large-Instruct-2411,29.00,,15.39%,0.00%,0.673,28.26,6,0.00,,0.00,,5.00,,0.00,,24.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,24.00,,8.91%,0.00%,0.567,0.43,6,0.00,,0.00,,0.00,,0.00,,24.00,,0.00,
Mistral-Small-3.1-24B-2503,24.00,,12.48%,0.00%,0.803,17.25,6,0.00,,0.00,,0.00,,0.00,,24.00,,0.00,
Qwen3-8B-Non-Thinking,24.00,,13.32%,0.00%,1.047,3.08,6,0.00,,0.00,,0.00,,0.00,,24.00,,0.00,
Qwen3-4B-Non-Thinking,24.00,,12.55%,0.00%,1.048,1.74,6,0.00,,0.00,,0.00,,0.00,,24.00,,0.00,
Qwen2.5-Coder-32B-Instruct,18.00,,13.39%,0.00%,0.667,7.62,6,0.00,,11.00,,0.00,,0.00,,7.00,,0.00,
seed-oss_0,11.00,,8.40%,0.00%,0.128,14.91,6,0.00,,11.00,,0.00,,0.00,,0.00,,0.00,
