Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,928.00,,79.15%,75.00%,0.336,45.08,12
gpt-oss-120b-high,819.00,,71.56%,66.67%,0.272,44.10,12
gemini-2.5-pro,629.00,,64.58%,33.33%,0.678,50.26,12
gpt-oss-20b-high,617.00,,62.23%,50.00%,0.336,30.30,10
gpt-o3-mini-high,609.00,,55.75%,33.33%,0.538,33.42,12
gpt-oss-120b-medium,592.00,49.33%,53.37%,41.67%,0.368,40.76,12
gemini-2.5-flash,515.00,,48.12%,25.00%,0.708,60.34,12
gpt-oss-20b-medium,479.00,,45.97%,36.36%,0.277,31.23,11
seed-oss_-1,424.00,,38.94%,25.00%,0.337,226.45,12
gpt-oss-120b-low,414.00,,37.38%,25.00%,0.353,23.17,12
deepseek-reasoner,278.00,,32.97%,8.33%,0.575,220.59,12
gpt-oss-20b-low,268.00,,25.39%,16.67%,0.241,28.00,12
Qwen3-32B,259.00,,33.18%,8.33%,1.024,208.53,12
seed-oss_8192,256.00,,21.78%,16.67%,0.163,14.20,12
Qwen3-14B,239.00,,26.46%,8.33%,0.734,33.43,12
QwQ-32B,229.00,,24.82%,8.33%,0.408,39.95,12
Qwen3-30B,226.00,,27.88%,8.33%,0.978,206.62,12
Qwen3-4B,214.00,,22.86%,8.33%,0.722,220.90,12
gpt-4.1,203.00,,24.94%,8.33%,0.777,67.10,12
deepseek-chat,201.00,,24.53%,8.33%,0.713,63.03,12
DeepSeek-R1-Distill-Qwen-32B,180.00,,19.94%,8.33%,0.924,17.47,12
Qwen3-8B,170.00,,20.93%,8.33%,0.994,30.68,12
DeepSeek-R1-Distill-Llama-70B,139.00,,18.80%,8.33%,0.551,10.67,12
Llama-3.3-70B-Instruct,133.00,,18.43%,0.00%,1.120,91.40,12
seed-oss_4096,119.00,,12.73%,8.33%,0.047,5.95,12
seed-oss_2048,111.00,,12.33%,8.33%,0.048,7.63,12
seed-oss_1024,111.00,,12.05%,8.33%,0.159,22.71,12
Qwen2.5-72B,83.00,,13.13%,0.00%,0.689,12.56,12
Qwen2.5-Coder-14B-Instruct,73.00,,11.27%,0.00%,0.875,9.98,12
Qwen3-14B-Non-Thinking,71.00,,9.94%,0.00%,0.701,11.62,12
DeepSeek-R1-Distill-Qwen-14B,51.00,,7.95%,0.00%,0.571,25.94,12
Qwen2.5-Coder-32B-Instruct,43.00,,10.31%,0.00%,0.638,13.35,12
seed-oss_512,38.00,,5.74%,0.00%,0.083,24.24,12
Mistral-Large-Instruct-2411,34.00,,9.88%,0.00%,0.528,14.51,12
Mistral-Small-3.1-24B-2503,29.00,,7.61%,0.00%,0.498,8.83,12
Qwen3-4B-Non-Thinking,29.00,,7.52%,0.00%,0.620,1.40,12
Llama-4-Scout,27.00,,6.10%,0.00%,0.542,3.19,12
DeepSeek-R1-Distill-Llama-8B,24.00,,4.46%,0.00%,0.283,0.22,12
Qwen3-8B-Non-Thinking,24.00,,6.86%,0.00%,0.623,2.02,12
seed-oss_0,11.00,,4.34%,0.00%,0.068,8.93,12
Codestral-22B-v0.1,7.00,,4.59%,0.00%,0.311,8.05,12
Qwen2.5-Coder-7B-Instruct,7.00,,5.00%,0.00%,0.607,6.76,12
DeepSeek-Coder-V2-Lite-Instruct,7.00,,6.33%,0.00%,0.874,185.50,12
Qwen3-30B-Non-Thinking,5.00,,5.46%,0.00%,0.661,6.40,12
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,11
Llama-3.1-8B-Instruct,0.00,,1.86%,0.00%,0.039,0.88,12
