Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2024-open-t1_Examination_2,2024-open-t1_Examination_2_rel,2024-open-t2_Heat_Stroke,2024-open-t2_Heat_Stroke_rel,2024-open-t3_Library_3,2024-open-t3_Library_3_rel
gpt-5,206.00,68.67%,78.86%,66.67%,0.347,19.35,3,100.00,100.00%,6.00,6.00%,100.00,100.00%
gpt-oss-120b-high,108.00,36.00%,63.75%,33.33%,0.350,293.00,3,100.00,100.00%,6.00,6.00%,2.00,2.00%
gpt-oss-20b-high,106.00,35.33%,45.52%,33.33%,0.163,6.44,3,100.00,100.00%,6.00,6.00%,0.00,0.00%
grok-4-fast-reasoning,106.00,35.33%,51.65%,33.33%,0.180,328.55,3,100.00,100.00%,6.00,6.00%,0.00,0.00%
gpt-oss-120b_sp2,106.00,35.33%,47.75%,33.33%,0.223,321.96,3,100.00,100.00%,6.00,6.00%,0.00,0.00%
gemini-2.5-pro,47.00,15.67%,59.00%,0.00%,0.983,21.33,3,20.00,20.00%,6.00,6.00%,21.00,21.00%
seed-oss_8192,28.00,,34.32%,0.00%,0.830,6.01,3,20.00,,6.00,,2.00,
deepseek-chat,28.00,9.33%,42.26%,0.00%,0.917,12.43,3,20.00,20.00%,6.00,6.00%,2.00,2.00%
seed-oss_-1,28.00,9.33%,48.60%,0.00%,0.917,28.16,3,20.00,20.00%,6.00,6.00%,2.00,2.00%
Qwen3-30B,28.00,9.33%,43.05%,0.00%,0.917,12.94,3,20.00,20.00%,6.00,6.00%,2.00,2.00%
Qwen3-32B,28.00,9.33%,43.05%,0.00%,0.947,6.76,3,20.00,20.00%,6.00,6.00%,2.00,2.00%
Qwen3-14B,28.00,9.33%,43.05%,0.00%,0.950,6.98,3,20.00,20.00%,6.00,6.00%,2.00,2.00%
gpt-oss-120b_sp3,26.00,8.67%,34.90%,0.00%,0.817,15.38,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
seed-oss_16384,26.00,,29.19%,0.00%,0.823,8.17,3,20.00,,6.00,,0.00,
seed-oss_2048,26.00,,27.81%,0.00%,0.840,19.78,3,20.00,,6.00,,0.00,
gpt-oss-120b_sp1,26.00,8.67%,33.21%,0.00%,0.870,25.45,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
